trialName	time	nFlying	pFlying	group	session
A	-60	5	27.7777777777778	ir25a_BamHI_het	1
A	-30	3	16.6666666666667	ir25a_BamHI_het	1
A	0	4	22.2222222222222	ir25a_BamHI_het	1
A	30	12	66.6666666666667	ir25a_BamHI_het	1
A	60	8	44.4444444444444	ir25a_BamHI_het	1
A	90	6	33.3333333333333	ir25a_BamHI_het	1
A	120	6	33.3333333333333	ir25a_BamHI_het	1
A	150	5	27.7777777777778	ir25a_BamHI_het	1
A	180	7	38.8888888888889	ir25a_BamHI_het	1
A	210	6	33.3333333333333	ir25a_BamHI_het	1
A	240	11	61.11111111111111	ir25a_BamHI_het	1
A	270	8	44.4444444444444	ir25a_BamHI_het	1
A	300	5	27.7777777777778	ir25a_BamHI_het	1
B	-60	4	23.5294117647059	ir25a_19_het	1
B	-30	4	23.5294117647059	ir25a_19_het	1
B	0	4	23.5294117647059	ir25a_19_het	1
B	30	8	47.0588235294118	ir25a_19_het	1
B	60	9	52.9411764705882	ir25a_19_het	1
B	90	5	29.4117647058824	ir25a_19_het	1
B	120	7	41.1764705882353	ir25a_19_het	1
B	150	6	35.2941176470588	ir25a_19_het	1
B	180	4	23.5294117647059	ir25a_19_het	1
B	210	6	35.2941176470588	ir25a_19_het	1
B	240	5	29.4117647058824	ir25a_19_het	1
B	270	7	41.1764705882353	ir25a_19_het	1
B	300	6	35.2941176470588	ir25a_19_het	1
C	-60	4	21.0526315789474	ir25a_BamHI_het	1
C	-30	1	5.26315789473684	ir25a_BamHI_het	1
C	0	4	21.0526315789474	ir25a_BamHI_het	1
C	30	14	73.6842105263158	ir25a_BamHI_het	1
C	60	9	47.3684210526316	ir25a_BamHI_het	1
C	90	5	26.3157894736842	ir25a_BamHI_het	1
C	120	5	26.3157894736842	ir25a_BamHI_het	1
C	150	5	26.3157894736842	ir25a_BamHI_het	1
C	180	4	21.0526315789474	ir25a_BamHI_het	1
C	210	3	15.7894736842105	ir25a_BamHI_het	1
