pelt_temp_step	heatseek	group
26	0.021978022	lvp_wt
28.5	3.252747253	lvp_wt
31	9.296703297	lvp_wt
33.5	10.98901099	lvp_wt
36	16.32967033	lvp_wt
38.5	15.31868132	lvp_wt
40	23.31868132	lvp_wt
45	19.25274725	lvp_wt
50	9.450549451	lvp_wt
55	3.67032967	lvp_wt
60	1.89010989	lvp_wt
26	0.43956044	lvp_wt
28.5	3.032967033	lvp_wt
31	7.362637363	lvp_wt
33.5	11.0989011	lvp_wt
36	12.15384615	lvp_wt
38.5	16.72527473	lvp_wt
40	19.53846154	lvp_wt
45	18.9010989	lvp_wt
50	12.92307692	lvp_wt
55	9.538461538	lvp_wt
60	3.67032967	lvp_wt
26	0	lvp_wt
28.5	6.144875533	lvp_wt
31	9.777977125	lvp_wt
33.5	16.32653061	lvp_wt
36	24.40008971	lvp_wt
38.5	28.66113478	lvp_wt
40	25.63355012	lvp_wt
45	23.39089482	lvp_wt
50	9.845256784	lvp_wt
55	4.664723032	lvp_wt
60	3.296703297	lvp_wt
26	1.032967033	lvp_wt
28.5	5.010989011	lvp_wt
31	16	lvp_wt
33.5	25.82417582	lvp_wt
36	27.07692308	lvp_wt
38.5	31.38461538	lvp_wt
40	35.45054945	lvp_wt
45	26.59340659	lvp_wt
50	13.47252747	lvp_wt
55	5.010989011	lvp_wt
60	1.956043956	lvp_wt
26	0	lvp_wt
28.5	4.761904762	lvp_wt
31	5.883699634	lvp_wt
33.5	7.646520147	lvp_wt
36	17.03296703	lvp_wt
38.5	20.16941392	lvp_wt
40	20.28388278	lvp_wt
45	21.31410256	lvp_wt
50	12.52289377	lvp_wt
55	3.456959707	lvp_wt
60	2.358058608	lvp_wt
26	0.461538462	lvp_wt
28.5	3.472527473	lvp_wt
31	9.978021978	lvp_wt
33.5	14.41758242	lvp_wt
36	15.2967033	lvp_wt
38.5	26.61538462	lvp_wt
40	23.07692308	lvp_wt
45	13.38461538	lvp_wt
50	5.450549451	lvp_wt
55	1.538461538	lvp_wt
60	0.417582418	lvp_wt
26	0	lvp_wt
28.5	0	lvp_wt
31	6.10240823	lvp_wt
33.5	4.676174889	lvp_wt
36	6.570025719	lvp_wt
38.5	9.632920271	lvp_wt
40	10.54477437	lvp_wt
45	8.370353051	lvp_wt
50	3.15641805	lvp_wt
55	1.519756839	lvp_wt
60	0.397474866	lvp_wt
26	0	lvp_wt
28.5	0.637362637	lvp_wt
31	3.010989011	lvp_wt
33.5	1.208791209	lvp_wt
36	4.703296703	lvp_wt
38.5	4.087912088	lvp_wt
40	12.30769231	lvp_wt
45	14.85714286	lvp_wt
50	6.901098901	lvp_wt
55	2.21978022	lvp_wt
60	0.593406593	lvp_wt
26	0.022893773	lvp_wt
28.5	3.090659341	lvp_wt
31	5.654761905	lvp_wt
33.5	9.043040293	lvp_wt
36	12.2481685	lvp_wt
38.5	15.97985348	lvp_wt
40	16.11721612	lvp_wt
45	14.90384615	lvp_wt
50	7.600732601	lvp_wt
55	5.311355311	lvp_wt
60	1.144688645	lvp_wt
26	0	lvp_wt
28.5	5.446727186	lvp_wt
31	6.832298137	lvp_wt
33.5	12.35069279	lvp_wt
36	12.87625418	lvp_wt
38.5	20.64022934	lvp_wt
40	21.2852365	lvp_wt
45	19.94744386	lvp_wt
50	15.480172	lvp_wt
55	4.25226947	lvp_wt
60	3.057811753	lvp_wt
26	1.211033864	lvp_wt
28.5	1.681991478	lvp_wt
31	4.305898183	lvp_wt
33.5	13.05225387	lvp_wt
36	16.93204754	lvp_wt
38.5	22.56111236	lvp_wt
40	25.81296255	lvp_wt
45	24.53464902	lvp_wt
50	13.05225387	lvp_wt
55	5.449652388	lvp_wt
60	5.113254093	lvp_wt
26	0.021978022	lvp_wt
28.5	6.131868132	lvp_wt
31	11.25274725	lvp_wt
33.5	18.28571429	lvp_wt
36	28.85714286	lvp_wt
38.5	34.7032967	lvp_wt
40	36.74725275	lvp_wt
45	26.13186813	lvp_wt
50	15.31868132	lvp_wt
55	9.846153846	lvp_wt
60	7.89010989	lvp_wt
26	0.964341781	lvp_wt
28.5	0.381251402	lvp_wt
31	14.55483292	lvp_wt
33.5	15.49674815	lvp_wt
36	27.15855573	lvp_wt
38.5	35.03027585	lvp_wt
40	40.03139717	lvp_wt
45	31.3298946	lvp_wt
50	17.24601929	lvp_wt
55	9.239739852	lvp_wt
60	5.001121328	lvp_wt
26	0.044853106	ir76b_61_het
28.5	3.54339538	ir76b_61_het
31	6.884951783	ir76b_61_het
33.5	11.23570307	ir76b_61_het
36	26.05965463	ir76b_61_het
38.5	24.78134111	ir76b_61_het
40	27.24826194	ir76b_61_het
45	17.55999103	ir76b_61_het
50	8.432383943	ir76b_61_het
55	3.274276744	ir76b_61_het
60	1.906257008	ir76b_61_het
26	0.043956044	ir76b_61_het
28.5	3.582417582	ir76b_61_het
31	7.362637363	ir76b_61_het
33.5	10.85714286	ir76b_61_het
36	14.61538462	ir76b_61_het
38.5	18.87912088	ir76b_61_het
40	18.15384615	ir76b_61_het
45	18.32967033	ir76b_61_het
50	12.87912088	ir76b_61_het
55	6.703296703	ir76b_61_het
60	2.681318681	ir76b_61_het
26	0.10989011	ir76b_61_het
28.5	6.857142857	ir76b_61_het
31	13.95604396	ir76b_61_het
33.5	16.72527473	ir76b_61_het
36	28.17582418	ir76b_61_het
38.5	31.78021978	ir76b_61_het
40	37.53846154	ir76b_61_het
45	20.94505495	ir76b_61_het
50	7.648351648	ir76b_61_het
55	1.846153846	ir76b_61_het
