pelt_temp_step	heatseek	group
26	0.989010989	orl_wt
28.5	2.791208791	orl_wt
31	14.32967033	orl_wt
33.5	13.73626374	orl_wt
36	13.23076923	orl_wt
38.5	21.95604396	orl_wt
40	22.61538462	orl_wt
45	22.13186813	orl_wt
50	9.252747253	orl_wt
55	2.879120879	orl_wt
60	0.945054945	orl_wt
26	0.065934066	orl_wt
28.5	6.197802198	orl_wt
31	9.516483516	orl_wt
33.5	23.53846154	orl_wt
36	24.10989011	orl_wt
38.5	29.38461538	orl_wt
40	27.42857143	orl_wt
45	29.0989011	orl_wt
50	15.67032967	orl_wt
55	4.461538462	orl_wt
60	2.857142857	orl_wt
26	0.087912088	orl_wt
28.5	5.450549451	orl_wt
31	16.76923077	orl_wt
33.5	20.43956044	orl_wt
36	24.10989011	orl_wt
38.5	29.78021978	orl_wt
40	28.61538462	orl_wt
45	31.75824176	orl_wt
50	18.76923077	orl_wt
55	10.9010989	orl_wt
60	2.967032967	orl_wt
26	0.857142857	orl_wt
28.5	8.703296703	orl_wt
31	14.02197802	orl_wt
33.5	21.2967033	orl_wt
36	26.13186813	orl_wt
38.5	30.08791209	orl_wt
40	26.96703297	orl_wt
45	29.49450549	orl_wt
50	20.61538462	orl_wt
55	10.04395604	orl_wt
60	2.285714286	orl_wt
26	0.571428571	ir8a_dsred_het
28.5	4.285714286	ir8a_dsred_het
31	8.989010989	ir8a_dsred_het
33.5	13.20879121	ir8a_dsred_het
36	16.63736264	ir8a_dsred_het
38.5	22.74725275	ir8a_dsred_het
40	22.35164835	ir8a_dsred_het
45	22.85714286	ir8a_dsred_het
50	13.51648352	ir8a_dsred_het
55	5.054945055	ir8a_dsred_het
60	1.714285714	ir8a_dsred_het
26	0.659340659	ir8a_dsred_het
28.5	1.516483516	ir8a_dsred_het
31	6.879120879	ir8a_dsred_het
33.5	10.17582418	ir8a_dsred_het
36	20.98901099	ir8a_dsred_het
38.5	21.64835165	ir8a_dsred_het
40	19.05494505	ir8a_dsred_het
45	19.38461538	ir8a_dsred_het
50	11.64835165	ir8a_dsred_het
55	2.043956044	ir8a_dsred_het
60	1.450549451	ir8a_dsred_het
26	1.098901099	ir8a_dsred_het
28.5	6.087912088	ir8a_dsred_het
31	16.50549451	ir8a_dsred_het
33.5	23.47252747	ir8a_dsred_het
36	31.12087912	ir8a_dsred_het
38.5	35.78021978	ir8a_dsred_het
40	39.05494505	ir8a_dsred_het
45	27.82417582	ir8a_dsred_het
50	14	ir8a_dsred_het
55	4.483516484	ir8a_dsred_het
60	1.604395604	ir8a_dsred_het
26	2.32967033	ir8a_dsredattp_ko
28.5	12.85714286	ir8a_dsredattp_ko
31	21.01098901	ir8a_dsredattp_ko
33.5	33.47252747	ir8a_dsredattp_ko
36	35.73626374	ir8a_dsredattp_ko
38.5	44.46153846	ir8a_dsredattp_ko
40	43.03296703	ir8a_dsredattp_ko
45	35.16483516	ir8a_dsredattp_ko
50	18.3956044	ir8a_dsredattp_ko
55	5.956043956	ir8a_dsredattp_ko
60	3.868131868	ir8a_dsredattp_ko
26	4	ir8a_dsredattp_ko
28.5	12.98901099	ir8a_dsredattp_ko
31	22.1978022	ir8a_dsredattp_ko
33.5	33.84615385	ir8a_dsredattp_ko
36	42.10989011	ir8a_dsredattp_ko
38.5	46.7032967	ir8a_dsredattp_ko
40	53.8021978	ir8a_dsredattp_ko
45	36.96703297	ir8a_dsredattp_ko
50	24.13186813	ir8a_dsredattp_ko
55	12.1978022	ir8a_dsredattp_ko
60	9.252747253	ir8a_dsredattp_ko
26	2.28750841	ir8a_dsredattp_ko
28.5	9.979816102	ir8a_dsredattp_ko
31	25.43171115	ir8a_dsredattp_ko
