heatseek	group	treatment
53.6	orl_wt	solvent
31.73913	orl_wt	solvent
40.41667	orl_wt	solvent
17.69231	orl_wt	solvent
30	orl_wt	solvent
14.21053	orl_wt	solvent
32.17	orl_wt	solvent
13.75	orl_wt	solvent
23.6	orl_wt	solvent
21.25	orl_wt	solvent
43.2	orco_16_het	solvent
34.54546	orco_16_het	solvent
26.81818	orco_16_het	solvent
36.8	orco_16_het	solvent
10.63	orco_16_het	solvent
29.6	orco_16_het	solvent
76.25	orco_516_ko	solvent
90.4	orco_516_ko	solvent
75	orco_516_ko	solvent
46.52174	orco_516_ko	solvent
53.18182	orco_516_ko	solvent
77.6	orco_516_ko	solvent
59.2	orco_25_ko	solvent
47.08333	orco_25_ko	solvent
73.18182	orco_25_ko	solvent
72.5	orco_25_ko	solvent
67.62	orco_25_ko	solvent
52.92	orco_25_ko	solvent
33.47826	orco_25_ko	solvent
52.17391	orco_25_ko	solvent
8.333333	orl_wt	deet
10.87	orl_wt	deet
15.65217	orl_wt	deet
5.42	orl_wt	deet
8.461538	orl_wt	deet
0.4	orl_wt	deet
3.913043	orl_wt	deet
6	orl_wt	deet
2	orl_wt	deet
2.5	orco_16_het	deet
5.555555	orco_16_het	deet
5.6	orco_16_het	deet
0.8333333	orco_16_het	deet
0.4347826	orco_16_het	deet
7.2	orco_16_het	deet
6.25	orco_16_het	deet
56.81818	orco_516_ko	deet
66.53846	orco_516_ko	deet
52	orco_516_ko	deet
45.90909	orco_516_ko	deet
53.04348	orco_516_ko	deet
56.4	orco_516_ko	deet
79.5	orco_25_ko	deet
41.3	orco_25_ko	deet
54.78261	orco_25_ko	deet
29.17	orco_25_ko	deet
73.91	orco_25_ko	deet
50	orco_25_ko	deet
46.25	orco_25_ko	deet
67.6	orco_25_ko	deet
