pelt_temp_step	heatseek	group
26	0.044853106	orl_wt
28.5	0.29154519	orl_wt
31	7.759587351	orl_wt
33.5	7.89414667	orl_wt
36	11.12357031	orl_wt
38.5	12.53644315	orl_wt
40	8.880915003	orl_wt
45	6.212155192	orl_wt
50	3.677954698	orl_wt
55	0.358824849	orl_wt
60	0.112132765	orl_wt
26	4.989010989	orl_wt
28.5	2.131868132	orl_wt
31	2.923076923	orl_wt
33.5	9.956043956	orl_wt
36	12.94505495	orl_wt
38.5	8.857142857	orl_wt
40	7.054945055	orl_wt
45	6.549450549	orl_wt
50	2.21978022	orl_wt
55	0.791208791	orl_wt
60	0.153846154	orl_wt
26	0.285714286	orl_wt
28.5	5.230769231	orl_wt
31	8.175824176	orl_wt
33.5	15.45054945	orl_wt
36	15.14285714	orl_wt
38.5	20.52747253	orl_wt
40	13.78021978	orl_wt
45	17.07692308	orl_wt
50	6.791208791	orl_wt
55	2.681318681	orl_wt
60	1.142857143	orl_wt
26	0.771568857	orl_wt
28.5	2.010755202	orl_wt
31	11.38648585	orl_wt
33.5	20.76221651	orl_wt
36	23.77834931	orl_wt
38.5	31.42389525	orl_wt
40	29.76385317	orl_wt
45	24.45639467	orl_wt
50	13.06990881	orl_wt
55	4.465747019	orl_wt
60	1.730184709	orl_wt
26	1.211033864	orl_wt
28.5	7.89414667	orl_wt
31	15.67616057	orl_wt
33.5	19.35411527	orl_wt
36	27.2706885	orl_wt
38.5	33.32585782	orl_wt
40	33.63982956	orl_wt
45	25.88024221	orl_wt
50	16.05741198	orl_wt
55	7.535321821	orl_wt
60	2.422067728	orl_wt
26	0.879120879	orl_wt
28.5	1.56043956	orl_wt
31	9.912087912	orl_wt
33.5	16.26373626	orl_wt
36	24.13186813	orl_wt
38.5	33.31868132	orl_wt
40	26.06593407	orl_wt
45	21.12087912	orl_wt
50	9.868131868	orl_wt
55	3.692307692	orl_wt
60	2.659340659	orl_wt
26	1.396520147	orl_wt
28.5	5.448717949	orl_wt
31	19.75732601	orl_wt
33.5	27.97619048	orl_wt
36	38.8507326	orl_wt
38.5	40.29304029	orl_wt
40	41.46062271	orl_wt
45	31.45604396	orl_wt
50	13.25549451	orl_wt
55	5.723443223	orl_wt
60	1.877289377	orl_wt
26	1.883830455	orl_wt
28.5	1.883830455	orl_wt
31	3.117290872	orl_wt
33.5	3.588248486	orl_wt
36	7.154070419	orl_wt
38.5	9.957389549	orl_wt
40	9.015474322	orl_wt
45	8.679076026	orl_wt
50	1.99596322	orl_wt
55	2.422067728	orl_wt
60	0.941915228	orl_wt
26	0.021978022	orl_wt
28.5	1.956043956	orl_wt
31	2.065934066	orl_wt
33.5	3.934065934	orl_wt
36	7.164835165	orl_wt
38.5	6.945054945	orl_wt
40	7.956043956	orl_wt
45	7.186813187	orl_wt
50	4.527472527	orl_wt
55	1.208791209	orl_wt
60	0.857142857	orl_wt
26	0.32967033	orco_5_het
28.5	1.67032967	orco_5_het
31	10.87912088	orco_5_het
33.5	12.41758242	orco_5_het
36	11.84615385	orco_5_het
38.5	22.26373626	orco_5_het
40	19.89010989	orco_5_het
45	21.47252747	orco_5_het
50	13.38461538	orco_5_het
55	4.087912088	orco_5_het
60	0.835164835	orco_5_het
26	0.549450549	orco_5_het
28.5	0.043956044	orco_5_het
31	12.74725275	orco_5_het
33.5	12.92307692	orco_5_het
36	24.17582418	orco_5_het
38.5	17.20879121	orco_5_het
40	21.42857143	orco_5_het
45	17.05494505	orco_5_het
50	5.516483516	orco_5_het
55	0.923076923	orco_5_het
60	0.263736264	orco_5_het
26	0.74007625	orco_5_het
28.5	2.780892577	orco_5_het
31	17.08903342	orco_5_het
33.5	26.84458399	orco_5_het
36	22.22471406	orco_5_het
38.5	29.55819691	orco_5_het
40	33.43799058	orco_5_het
45	28.10047096	orco_5_het
50	12.82798834	orco_5_het
55	2.758466024	orco_5_het
60	1.166180758	orco_5_het
26	0.065934066	orco_5_het
28.5	0.967032967	orco_5_het
31	4.571428571	orco_5_het
33.5	11.23076923	orco_5_het
36	10.17582418	orco_5_het
