trialName	time	nFlying	pFlying	group	session
A	-60	1	6.25	orl_wt	1
A	-30	0	0	orl_wt	1
A	0	0	0	orl_wt	1
A	30	16	100	orl_wt	1
A	60	14	87.5	orl_wt	1
A	90	12	75	orl_wt	1
A	120	16	100	orl_wt	1
A	150	10	62.5	orl_wt	1
A	180	6	37.5	orl_wt	1
A	210	6	37.5	orl_wt	1
A	240	4	25	orl_wt	1
A	270	3	18.75	orl_wt	1
A	300	6	37.5	orl_wt	1
B	-60	0	0	orl_wt	1
B	-30	0	0	orl_wt	1
B	0	0	0	orl_wt	1
B	30	15	75	orl_wt	1
B	60	16	80	orl_wt	1
B	90	13	65	orl_wt	1
B	120	14	70	orl_wt	1
B	150	9	45	orl_wt	1
B	180	11	55	orl_wt	1
B	210	6	30	orl_wt	1
B	240	7	35	orl_wt	1
B	270	4	20	orl_wt	1
B	300	3	15	orl_wt	1
C	-60	1	5	orco_16_het	1
C	-30	0	0	orco_16_het	1
C	0	0	0	orco_16_het	1
C	30	11	55	orco_16_het	1
C	60	12	60	orco_16_het	1
C	90	12	60	orco_16_het	1
C	120	15	75	orco_16_het	1
C	150	8	40	orco_16_het	1
C	180	7	35	orco_16_het	1
C	210	7	35	orco_16_het	1
C	240	4	20	orco_16_het	1
C	270	3	15	orco_16_het	1
C	300	2	10	orco_16_het	1
D	-60	1	5	orco_516_ko	1
D	-30	1	5	orco_516_ko	1
D	0	0	0	orco_516_ko	1
D	30	11	55	orco_516_ko	1
D	60	10	50	orco_516_ko	1
D	90	8	40	orco_516_ko	1
D	120	9	45	orco_516_ko	1
D	150	9	45	orco_516_ko	1
D	180	11	55	orco_516_ko	1
D	210	7	35	orco_516_ko	1
D	240	5	25	orco_516_ko	1
D	270	7	35	orco_516_ko	1
D	300	7	35	orco_516_ko	1
E	-60	0	0	orco_16_het	1
E	-30	1	5	orco_16_het	1
E	0	1	5	orco_16_het	1
E	30	18	90	orco_16_het	1
E	60	16	80	orco_16_het	1
E	90	14	70	orco_16_het	1
E	120	8	40	orco_16_het	1
E	150	9	45	orco_16_het	1
E	180	8	40	orco_16_het	1
E	210	7	35	orco_16_het	1
E	240	5	25	orco_16_het	1
E	270	4	20	orco_16_het	1
E	300	3	15	orco_16_het	1
F	-60	0	0	orco_5_het	1
F	-30	0	0	orco_5_het	1
F	0	0	0	orco_5_het	1
F	30	13	65	orco_5_het	1
F	60	10	50	orco_5_het	1
F	90	10	50	orco_5_het	1
F	120	13	65	orco_5_het	1
F	150	11	55	orco_5_het	1
F	180	11	55	orco_5_het	1
F	210	9	45	orco_5_het	1
F	240	10	50	orco_5_het	1
F	270	9	45	orco_5_het	1
F	300	10	50	orco_5_het	1
G	-60	0	0	orco_5_het	1
G	-30	1	5	orco_5_het	1
G	0	1	5	orco_5_het	1
G	30	13	65	orco_5_het	1
G	60	14	70	orco_5_het	1
G	90	17	85	orco_5_het	1
G	120	14	70	orco_5_het	1
G	150	11	55	orco_5_het	1
G	180	8	40	orco_5_het	1
G	210	8	40	orco_5_het	1
G	240	6	30	orco_5_het	1
G	270	5	25	orco_5_het	1
G	300	4	20	orco_5_het	1
H	-60	0	0	orco_516_ko	1
H	-30	0	0	orco_516_ko	1
H	0	0	0	orco_516_ko	1
H	30	13	65	orco_516_ko	1
H	60	13	65	orco_516_ko	1
H	90	10	50	orco_516_ko	1
H	120	15	75	orco_516_ko	1
H	150	13	65	orco_516_ko	1
H	180	11	55	orco_516_ko	1
H	210	10	50	orco_516_ko	1
H	240	11	55	orco_516_ko	1
H	270	5	25	orco_516_ko	1
H	300	5	25	orco_516_ko	1
A	-60	1	5	orco_16_het	2
A	-30	0	0	orco_16_het	2
A	0	0	0	orco_16_het	2
A	30	13	65	orco_16_het	2
A	60	15	75	orco_16_het	2
A	90	14	70	orco_16_het	2
A	120	12	60	orco_16_het	2
A	150	9	45	orco_16_het	2
A	180	5	25	orco_16_het	2
A	210	6	30	orco_16_het	2
A	240	7	35	orco_16_het	2
A	270	4	20	orco_16_het	2
A	300	1	5	orco_16_het	2
B	-60	2	10	orco_516_ko	2
B	-30	0	0	orco_516_ko	2
B	0	0	0	orco_516_ko	2
B	30	14	70	orco_516_ko	2
B	60	14	70	orco_516_ko	2
B	90	15	75	orco_516_ko	2
B	120	15	75	orco_516_ko	2
B	150	13	65	orco_516_ko	2
B	180	12	60	orco_516_ko	2
B	210	10	50	orco_516_ko	2
B	240	11	55	orco_516_ko	2
B	270	9	45	orco_516_ko	2
B	300	6	30	orco_516_ko	2
C	-60	0	0	orl_wt	2
C	-30	0	0	orl_wt	2
C	0	0	0	orl_wt	2
C	30	15	75	orl_wt	2
C	60	12	60	orl_wt	2
C	90	9	45	orl_wt	2
C	120	12	60	orl_wt	2
C	150	14	70	orl_wt	2
C	180	10	50	orl_wt	2
C	210	8	40	orl_wt	2
C	240	8	40	orl_wt	2
C	270	7	35	orl_wt	2
C	300	6	30	orl_wt	2
D	-60	0	0	orco_516_ko	2
D	-30	0	0	orco_516_ko	2
D	0	2	10	orco_516_ko	2
D	30	14	70	orco_516_ko	2
D	60	14	70	orco_516_ko	2
D	90	12	60	orco_516_ko	2
D	120	10	50	orco_516_ko	2
D	150	9	45	orco_516_ko	2
D	180	7	35	orco_516_ko	2
D	210	10	50	orco_516_ko	2
D	240	6	30	orco_516_ko	2
D	270	5	25	orco_516_ko	2
D	300	4	20	orco_516_ko	2
E	-60	2	10.5263157894737	orl_wt	2
E	-30	1	5.26315789473684	orl_wt	2
E	0	1	5.26315789473684	orl_wt	2
E	30	15	78.9473684210526	orl_wt	2
E	60	15	78.9473684210526	orl_wt	2
E	90	17	89.4736842105263	orl_wt	2
E	120	17	89.4736842105263	orl_wt	2
E	150	13	68.421052631579	orl_wt	2
E	180	12	63.1578947368421	orl_wt	2
E	210	13	68.421052631579	orl_wt	2
E	240	7	36.8421052631579	orl_wt	2
E	270	10	52.6315789473684	orl_wt	2
E	300	10	52.6315789473684	orl_wt	2
F	-60	0	0	orco_5_het	2
F	-30	0	0	orco_5_het	2
F	0	0	0	orco_5_het	2
F	30	14	70	orco_5_het	2
F	60	13	65	orco_5_het	2
F	90	13	65	orco_5_het	2
F	120	14	70	orco_5_het	2
F	150	13	65	orco_5_het	2
F	180	10	50	orco_5_het	2
F	210	11	55	orco_5_het	2
F	240	9	45	orco_5_het	2
F	270	8	40	orco_5_het	2
F	300	7	35	orco_5_het	2
G	-60	0	0	orco_16_het	2
G	-30	0	0	orco_16_het	2
G	0	0	0	orco_16_het	2
G	30	12	60	orco_16_het	2
G	60	16	80	orco_16_het	2
G	90	12	60	orco_16_het	2
G	120	14	70	orco_16_het	2
G	150	9	45	orco_16_het	2
G	180	8	40	orco_16_het	2
G	210	7	35	orco_16_het	2
G	240	5	25	orco_16_het	2
G	270	4	20	orco_16_het	2
G	300	1	5	orco_16_het	2
H	-60	0	0	orco_5_het	2
H	-30	0	0	orco_5_het	2
H	0	0	0	orco_5_het	2
H	30	13	65	orco_5_het	2
H	60	12	60	orco_5_het	2
H	90	12	60	orco_5_het	2
H	120	12	60	orco_5_het	2
H	150	12	60	orco_5_het	2
H	180	12	60	orco_5_het	2
H	210	9	45	orco_5_het	2
H	240	9	45	orco_5_het	2
H	270	7	35	orco_5_het	2
H	300	8	40	orco_5_het	2
A	-60	0	0	orco_16_het	3
A	-30	0	0	orco_16_het	3
A	0	0	0	orco_16_het	3
A	30	14	70	orco_16_het	3
A	60	19	95	orco_16_het	3
A	90	14	70	orco_16_het	3
A	120	13	65	orco_16_het	3
A	150	14	70	orco_16_het	3
A	180	10	50	orco_16_het	3
A	210	8	40	orco_16_het	3
A	240	6	30	orco_16_het	3
A	270	4	20	orco_16_het	3
A	300	7	35	orco_16_het	3
B	-60	0	0	orl_wt	3
B	-30	0	0	orl_wt	3
B	0	0	0	orl_wt	3
B	30	14	70	orl_wt	3
B	60	16	80	orl_wt	3
B	90	13	65	orl_wt	3
B	120	12	60	orl_wt	3
B	150	10	50	orl_wt	3
B	180	6	30	orl_wt	3
B	210	6	30	orl_wt	3
B	240	7	35	orl_wt	3
B	270	4	20	orl_wt	3
B	300	4	20	orl_wt	3
C	-60	1	5.26315789473684	orl_wt	3
C	-30	0	0	orl_wt	3
C	0	0	0	orl_wt	3
C	30	13	68.421052631579	orl_wt	3
C	60	15	78.9473684210526	orl_wt	3
C	90	17	89.4736842105263	orl_wt	3
C	120	15	78.9473684210526	orl_wt	3
C	150	13	68.421052631579	orl_wt	3
C	180	12	63.1578947368421	orl_wt	3
C	210	6	31.5789473684211	orl_wt	3
C	240	5	26.3157894736842	orl_wt	3
C	270	4	21.0526315789474	orl_wt	3
C	300	2	10.5263157894737	orl_wt	3
D	-60	0	0	orco_516_ko	3
D	-30	1	5.26315789473684	orco_516_ko	3
D	0	1	5.26315789473684	orco_516_ko	3
D	30	13	68.421052631579	orco_516_ko	3
D	60	15	78.9473684210526	orco_516_ko	3
D	90	12	63.1578947368421	orco_516_ko	3
D	120	12	63.1578947368421	orco_516_ko	3
D	150	9	47.3684210526316	orco_516_ko	3
D	180	6	31.5789473684211	orco_516_ko	3
D	210	5	26.3157894736842	orco_516_ko	3
D	240	5	26.3157894736842	orco_516_ko	3
D	270	4	21.0526315789474	orco_516_ko	3
D	300	5	26.3157894736842	orco_516_ko	3
E	-60	1	5	orco_5_het	3
E	-30	0	0	orco_5_het	3
E	0	0	0	orco_5_het	3
E	30	15	75	orco_5_het	3
E	60	14	70	orco_5_het	3
E	90	17	85	orco_5_het	3
E	120	12	60	orco_5_het	3
E	150	12	60	orco_5_het	3
E	180	12	60	orco_5_het	3
E	210	8	40	orco_5_het	3
E	240	5	25	orco_5_het	3
E	270	2	10	orco_5_het	3
E	300	3	15	orco_5_het	3
F	-60	0	0	orco_5_het	3
F	-30	0	0	orco_5_het	3
F	0	0	0	orco_5_het	3
F	30	13	65	orco_5_het	3
F	60	12	60	orco_5_het	3
F	90	15	75	orco_5_het	3
F	120	12	60	orco_5_het	3
F	150	11	55	orco_5_het	3
F	180	12	60	orco_5_het	3
F	210	9	45	orco_5_het	3
F	240	9	45	orco_5_het	3
F	270	7	35	orco_5_het	3
F	300	4	20	orco_5_het	3
G	-60	0	0	orco_16_het	3
G	-30	1	5	orco_16_het	3
G	0	1	5	orco_16_het	3
G	30	14	70	orco_16_het	3
G	60	17	85	orco_16_het	3
G	90	12	60	orco_16_het	3
G	120	9	45	orco_16_het	3
G	150	6	30	orco_16_het	3
G	180	6	30	orco_16_het	3
G	210	5	25	orco_16_het	3
G	240	4	20	orco_16_het	3
G	270	5	25	orco_16_het	3
G	300	4	20	orco_16_het	3
H	-60	0	0	orco_516_ko	3
H	-30	1	5	orco_516_ko	3
H	0	3	15	orco_516_ko	3
H	30	14	70	orco_516_ko	3
H	60	11	55	orco_516_ko	3
H	90	11	55	orco_516_ko	3
H	120	13	65	orco_516_ko	3
H	150	16	80	orco_516_ko	3
H	180	13	65	orco_516_ko	3
H	210	10	50	orco_516_ko	3
H	240	9	45	orco_516_ko	3
H	270	8	40	orco_516_ko	3
H	300	6	30	orco_516_ko	3
A	-60	0	0	orl_wt	4
A	-30	0	0	orl_wt	4
A	0	0	0	orl_wt	4
A	30	13	65	orl_wt	4
A	60	14	70	orl_wt	4
A	90	15	75	orl_wt	4
A	120	11	55	orl_wt	4
