time	group	mos_p
0	orl_wt	0
10	orl_wt	5
20	orl_wt	15
30	orl_wt	5
40	orl_wt	15
50	orl_wt	30
60	orl_wt	30
70	orl_wt	25
80	orl_wt	20
90	orl_wt	25
100	orl_wt	25
110	orl_wt	30
120	orl_wt	10
130	orl_wt	20
140	orl_wt	25
150	orl_wt	30
160	orl_wt	35
170	orl_wt	35
180	orl_wt	45
190	orl_wt	40
200	orl_wt	40
210	orl_wt	50
220	orl_wt	30
230	orl_wt	45
240	orl_wt	45
250	orl_wt	50
260	orl_wt	50
270	orl_wt	45
280	orl_wt	40
290	orl_wt	35
300	orl_wt	25
0	orco_516_ko	0
10	orco_516_ko	10
20	orco_516_ko	25
30	orco_516_ko	30
40	orco_516_ko	45
50	orco_516_ko	50
60	orco_516_ko	40
70	orco_516_ko	40
80	orco_516_ko	40
90	orco_516_ko	40
100	orco_516_ko	45
110	orco_516_ko	45
120	orco_516_ko	45
130	orco_516_ko	45
140	orco_516_ko	40
150	orco_516_ko	40
160	orco_516_ko	35
170	orco_516_ko	40
180	orco_516_ko	45
190	orco_516_ko	35
200	orco_516_ko	45
210	orco_516_ko	45
220	orco_516_ko	45
230	orco_516_ko	45
240	orco_516_ko	45
250	orco_516_ko	35
260	orco_516_ko	40
270	orco_516_ko	45
280	orco_516_ko	45
290	orco_516_ko	45
300	orco_516_ko	40
0	orco_5_het	0
10	orco_5_het	0
20	orco_5_het	0
30	orco_5_het	35
40	orco_5_het	20
50	orco_5_het	35
60	orco_5_het	30
70	orco_5_het	40
80	orco_5_het	45
90	orco_5_het	30
100	orco_5_het	30
110	orco_5_het	25
120	orco_5_het	30
130	orco_5_het	35
140	orco_5_het	40
150	orco_5_het	35
160	orco_5_het	35
170	orco_5_het	40
180	orco_5_het	35
190	orco_5_het	35
200	orco_5_het	30
210	orco_5_het	30
220	orco_5_het	30
230	orco_5_het	15
240	orco_5_het	20
250	orco_5_het	30
260	orco_5_het	30
270	orco_5_het	35
280	orco_5_het	35
290	orco_5_het	50
300	orco_5_het	45
0	orco_16_het	5
10	orco_16_het	10
20	orco_16_het	15
30	orco_16_het	10
40	orco_16_het	20
50	orco_16_het	25
60	orco_16_het	35
70	orco_16_het	35
80	orco_16_het	40
90	orco_16_het	40
100	orco_16_het	40
110	orco_16_het	35
120	orco_16_het	45
130	orco_16_het	35
140	orco_16_het	35
150	orco_16_het	40
160	orco_16_het	40
170	orco_16_het	35
180	orco_16_het	30
190	orco_16_het	25
200	orco_16_het	30
210	orco_16_het	35
220	orco_16_het	35
230	orco_16_het	30
240	orco_16_het	30
250	orco_16_het	40
260	orco_16_het	35
270	orco_16_het	35
280	orco_16_het	20
290	orco_16_het	30
300	orco_16_het	30
0	orco_516_ko	5
10	orco_516_ko	15
20	orco_516_ko	35
30	orco_516_ko	45
40	orco_516_ko	50
50	orco_516_ko	40
60	orco_516_ko	45
70	orco_516_ko	55
80	orco_516_ko	55
90	orco_516_ko	45
100	orco_516_ko	55
110	orco_516_ko	45
120	orco_516_ko	40
130	orco_516_ko	50
140	orco_516_ko	50
150	orco_516_ko	60
160	orco_516_ko	60
170	orco_516_ko	55
180	orco_516_ko	40
190	orco_516_ko	40
200	orco_516_ko	45
210	orco_516_ko	40
220	orco_516_ko	45
230	orco_516_ko	50
240	orco_516_ko	45
250	orco_516_ko	60
260	orco_516_ko	55
270	orco_516_ko	55
280	orco_516_ko	50
290	orco_516_ko	45
300	orco_516_ko	45
0	orl_wt	5
10	orl_wt	5
20	orl_wt	5
30	orl_wt	10
40	orl_wt	5
50	orl_wt	5
60	orl_wt	10
70	orl_wt	20
80	orl_wt	35
90	orl_wt	25
100	orl_wt	25
110	orl_wt	15
120	orl_wt	25
130	orl_wt	30
140	orl_wt	20
150	orl_wt	30
160	orl_wt	25
170	orl_wt	30
180	orl_wt	25
190	orl_wt	30
200	orl_wt	25
210	orl_wt	20
220	orl_wt	30
230	orl_wt	35
240	orl_wt	35
250	orl_wt	20
260	orl_wt	30
270	orl_wt	40
280	orl_wt	35
290	orl_wt	30
300	orl_wt	35
0	orco_16_het	5
10	orco_16_het	15
20	orco_16_het	20
30	orco_16_het	20
40	orco_16_het	20
50	orco_16_het	15
60	orco_16_het	20
70	orco_16_het	10
80	orco_16_het	25
90	orco_16_het	30
100	orco_16_het	20
110	orco_16_het	30
120	orco_16_het	35
130	orco_16_het	25
140	orco_16_het	25
150	orco_16_het	30
160	orco_16_het	30
170	orco_16_het	20
180	orco_16_het	20
190	orco_16_het	35
200	orco_16_het	40
210	orco_16_het	30
220	orco_16_het	40
230	orco_16_het	20
240	orco_16_het	25
250	orco_16_het	20
260	orco_16_het	35
270	orco_16_het	30
280	orco_16_het	45
290	orco_16_het	40
300	orco_16_het	35
0	orco_16_het	10
10	orco_16_het	15
20	orco_16_het	25
30	orco_16_het	20
40	orco_16_het	15
50	orco_16_het	25
60	orco_16_het	30
70	orco_16_het	25
80	orco_16_het	30
90	orco_16_het	25
100	orco_16_het	40
110	orco_16_het	30
120	orco_16_het	45
130	orco_16_het	40
140	orco_16_het	25
150	orco_16_het	40
160	orco_16_het	25
170	orco_16_het	40
180	orco_16_het	30
190	orco_16_het	25
200	orco_16_het	30
210	orco_16_het	35
220	orco_16_het	35
230	orco_16_het	40
240	orco_16_het	30
250	orco_16_het	40
260	orco_16_het	30
270	orco_16_het	30
280	orco_16_het	30
290	orco_16_het	30
300	orco_16_het	35
0	orco_5_het	0
10	orco_5_het	15
20	orco_5_het	15
30	orco_5_het	30
40	orco_5_het	40
50	orco_5_het	40
60	orco_5_het	35
70	orco_5_het	50
80	orco_5_het	55
90	orco_5_het	55
100	orco_5_het	50
110	orco_5_het	45
120	orco_5_het	40
130	orco_5_het	45
140	orco_5_het	60
150	orco_5_het	55
160	orco_5_het	40
170	orco_5_het	40
180	orco_5_het	55
190	orco_5_het	60
200	orco_5_het	45
210	orco_5_het	40
220	orco_5_het	30
230	orco_5_het	25
240	orco_5_het	20
250	orco_5_het	50
260	orco_5_het	60
270	orco_5_het	60
280	orco_5_het	35
290	orco_5_het	50
300	orco_5_het	35
0	orl_wt	0
