time	group	mos_p
0	orco_5_het	15
10	orco_5_het	10
20	orco_5_het	15
30	orco_5_het	10
40	orco_5_het	20
50	orco_5_het	20
60	orco_5_het	20
70	orco_5_het	25
80	orco_5_het	20
90	orco_5_het	20
100	orco_5_het	10
110	orco_5_het	20
120	orco_5_het	15
130	orco_5_het	15
140	orco_5_het	20
150	orco_5_het	15
160	orco_5_het	15
170	orco_5_het	10
180	orco_5_het	20
190	orco_5_het	10
200	orco_5_het	10
210	orco_5_het	10
220	orco_5_het	10
230	orco_5_het	10
240	orco_5_het	10
250	orco_5_het	10
260	orco_5_het	10
270	orco_5_het	15
280	orco_5_het	15
290	orco_5_het	5
300	orco_5_het	5
0	orco_16_het	0
10	orco_16_het	0
20	orco_16_het	0
30	orco_16_het	0
40	orco_16_het	10
50	orco_16_het	10
60	orco_16_het	10
70	orco_16_het	10
80	orco_16_het	5
90	orco_16_het	5
100	orco_16_het	20
110	orco_16_het	25
120	orco_16_het	20
130	orco_16_het	10
140	orco_16_het	30
150	orco_16_het	15
160	orco_16_het	20
170	orco_16_het	20
180	orco_16_het	20
190	orco_16_het	25
200	orco_16_het	10
210	orco_16_het	10
220	orco_16_het	10
230	orco_16_het	5
240	orco_16_het	10
250	orco_16_het	10
260	orco_16_het	10
270	orco_16_het	10
280	orco_16_het	15
290	orco_16_het	15
300	orco_16_het	20
0	orco_516_ko	5
10	orco_516_ko	0
20	orco_516_ko	20
30	orco_516_ko	50
40	orco_516_ko	40
50	orco_516_ko	45
60	orco_516_ko	55
70	orco_516_ko	40
80	orco_516_ko	40
90	orco_516_ko	30
100	orco_516_ko	40
110	orco_516_ko	30
120	orco_516_ko	40
130	orco_516_ko	30
140	orco_516_ko	30
150	orco_516_ko	30
160	orco_516_ko	30
170	orco_516_ko	30
180	orco_516_ko	35
190	orco_516_ko	50
200	orco_516_ko	45
210	orco_516_ko	40
220	orco_516_ko	35
230	orco_516_ko	25
240	orco_516_ko	35
250	orco_516_ko	40
260	orco_516_ko	25
270	orco_516_ko	15
280	orco_516_ko	20
290	orco_516_ko	25
300	orco_516_ko	25
0	orl_wt	0
10	orl_wt	5
20	orl_wt	15
30	orl_wt	10
40	orl_wt	15
50	orl_wt	20
60	orl_wt	15
70	orl_wt	30
80	orl_wt	20
90	orl_wt	20
100	orl_wt	30
110	orl_wt	20
120	orl_wt	15
130	orl_wt	10
140	orl_wt	15
150	orl_wt	15
160	orl_wt	5
170	orl_wt	0
180	orl_wt	20
190	orl_wt	15
200	orl_wt	15
210	orl_wt	15
220	orl_wt	15
230	orl_wt	15
240	orl_wt	10
250	orl_wt	10
260	orl_wt	10
270	orl_wt	10
280	orl_wt	10
290	orl_wt	5
300	orl_wt	5
0	orco_5_het	0
10	orco_5_het	0
20	orco_5_het	10
30	orco_5_het	35
40	orco_5_het	15
50	orco_5_het	15
60	orco_5_het	25
70	orco_5_het	15
80	orco_5_het	30
90	orco_5_het	40
100	orco_5_het	35
110	orco_5_het	15
120	orco_5_het	25
130	orco_5_het	20
140	orco_5_het	15
150	orco_5_het	15
160	orco_5_het	15
170	orco_5_het	10
180	orco_5_het	20
190	orco_5_het	15
200	orco_5_het	15
210	orco_5_het	10
220	orco_5_het	15
230	orco_5_het	10
240	orco_5_het	15
250	orco_5_het	5
260	orco_5_het	10
270	orco_5_het	5
280	orco_5_het	10
290	orco_5_het	10
300	orco_5_het	10
0	orco_516_ko	10
10	orco_516_ko	15
20	orco_516_ko	20
30	orco_516_ko	45
40	orco_516_ko	45
50	orco_516_ko	30
60	orco_516_ko	40
70	orco_516_ko	65
80	orco_516_ko	30
90	orco_516_ko	35
100	orco_516_ko	50
110	orco_516_ko	40
120	orco_516_ko	30
130	orco_516_ko	25
140	orco_516_ko	30
150	orco_516_ko	35
160	orco_516_ko	30
170	orco_516_ko	40
180	orco_516_ko	40
190	orco_516_ko	45
200	orco_516_ko	35
210	orco_516_ko	30
220	orco_516_ko	30
230	orco_516_ko	20
240	orco_516_ko	45
250	orco_516_ko	35
260	orco_516_ko	25
270	orco_516_ko	30
280	orco_516_ko	35
290	orco_516_ko	40
300	orco_516_ko	35
0	orl_wt	5
10	orl_wt	5
20	orl_wt	10
30	orl_wt	0
40	orl_wt	5
50	orl_wt	0
60	orl_wt	5
70	orl_wt	10
80	orl_wt	0
90	orl_wt	0
100	orl_wt	0
110	orl_wt	5
120	orl_wt	5
130	orl_wt	5
140	orl_wt	5
150	orl_wt	10
160	orl_wt	5
170	orl_wt	5
180	orl_wt	5
190	orl_wt	5
200	orl_wt	0
210	orl_wt	0
220	orl_wt	0
230	orl_wt	0
240	orl_wt	0
250	orl_wt	0
260	orl_wt	0
270	orl_wt	0
280	orl_wt	0
290	orl_wt	0
300	orl_wt	5
0	orco_16_het	5
