time	group	mos_p
0	orl_wt	2
10	orl_wt	2
20	orl_wt	2
30	orl_wt	2
40	orl_wt	2
50	orl_wt	2
60	orl_wt	2
70	orl_wt	2
80	orl_wt	2
90	orl_wt	2
100	orl_wt	2
110	orl_wt	2
120	orl_wt	2
130	orl_wt	2
140	orl_wt	2
150	orl_wt	2
160	orl_wt	2
170	orl_wt	2
180	orl_wt	2
190	orl_wt	2
200	orl_wt	2
210	orl_wt	2
220	orl_wt	2
230	orl_wt	2
240	orl_wt	2
250	orl_wt	2
260	orl_wt	2
270	orl_wt	2
280	orl_wt	2
290	orl_wt	2
300	orl_wt	2
0	orl_wt	4
10	orl_wt	2
20	orl_wt	2
30	orl_wt	2
40	orl_wt	2
50	orl_wt	2
60	orl_wt	2
70	orl_wt	2
80	orl_wt	2
90	orl_wt	2
100	orl_wt	2
110	orl_wt	0
120	orl_wt	0
130	orl_wt	0
140	orl_wt	0
150	orl_wt	0
160	orl_wt	0
170	orl_wt	0
180	orl_wt	0
190	orl_wt	0
200	orl_wt	0
210	orl_wt	0
220	orl_wt	0
230	orl_wt	0
240	orl_wt	0
250	orl_wt	0
260	orl_wt	0
270	orl_wt	0
280	orl_wt	0
290	orl_wt	0
300	orl_wt	0
0	orl_wt	2
10	orl_wt	2
20	orl_wt	2
30	orl_wt	0
40	orl_wt	0
50	orl_wt	0
60	orl_wt	0
70	orl_wt	0
80	orl_wt	0
90	orl_wt	0
100	orl_wt	0
110	orl_wt	0
120	orl_wt	0
130	orl_wt	0
140	orl_wt	0
150	orl_wt	0
160	orl_wt	0
170	orl_wt	0
180	orl_wt	0
190	orl_wt	0
200	orl_wt	0
210	orl_wt	0
220	orl_wt	0
230	orl_wt	0
240	orl_wt	0
250	orl_wt	0
260	orl_wt	0
270	orl_wt	0
280	orl_wt	0
290	orl_wt	0
300	orl_wt	0
0	orl_wt	0
10	orl_wt	0
20	orl_wt	0
30	orl_wt	0
40	orl_wt	0
50	orl_wt	0
60	orl_wt	0
70	orl_wt	0
80	orl_wt	0
90	orl_wt	0
100	orl_wt	0
110	orl_wt	0
120	orl_wt	0
130	orl_wt	0
140	orl_wt	0
150	orl_wt	0
160	orl_wt	0
170	orl_wt	0
180	orl_wt	0
190	orl_wt	0
200	orl_wt	0
210	orl_wt	0
220	orl_wt	0
230	orl_wt	0
240	orl_wt	0
250	orl_wt	0
260	orl_wt	0
270	orl_wt	0
280	orl_wt	0
290	orl_wt	0
300	orl_wt	0
0	orl_wt	4
10	orl_wt	4
20	orl_wt	2
30	orl_wt	0
40	orl_wt	2
50	orl_wt	2
60	orl_wt	2
70	orl_wt	2
80	orl_wt	2
90	orl_wt	2
100	orl_wt	2
110	orl_wt	2
120	orl_wt	2
130	orl_wt	2
140	orl_wt	0
150	orl_wt	0
160	orl_wt	0
170	orl_wt	0
180	orl_wt	0
190	orl_wt	0
200	orl_wt	0
210	orl_wt	0
220	orl_wt	0
230	orl_wt	0
240	orl_wt	0
250	orl_wt	0
260	orl_wt	0
270	orl_wt	0
280	orl_wt	0
290	orl_wt	0
300	orl_wt	0
0	orco_5_het	0
10	orco_5_het	2
20	orco_5_het	2
30	orco_5_het	0
40	orco_5_het	0
50	orco_5_het	0
60	orco_5_het	0
70	orco_5_het	0
80	orco_5_het	0
90	orco_5_het	0
100	orco_5_het	0
110	orco_5_het	0
120	orco_5_het	0
130	orco_5_het	0
140	orco_5_het	0
150	orco_5_het	0
160	orco_5_het	0
170	orco_5_het	0
180	orco_5_het	0
190	orco_5_het	0
200	orco_5_het	0
210	orco_5_het	0
220	orco_5_het	0
230	orco_5_het	0
240	orco_5_het	0
250	orco_5_het	0
260	orco_5_het	0
270	orco_5_het	0
280	orco_5_het	0
290	orco_5_het	0
300	orco_5_het	0
0	orco_5_het	0
10	orco_5_het	0
20	orco_5_het	0
30	orco_5_het	0
40	orco_5_het	0
50	orco_5_het	0
60	orco_5_het	0
70	orco_5_het	0
80	orco_5_het	0
90	orco_5_het	0
100	orco_5_het	0
110	orco_5_het	0
120	orco_5_het	0
130	orco_5_het	0
140	orco_5_het	0
150	orco_5_het	0
160	orco_5_het	0
170	orco_5_het	0
180	orco_5_het	0
190	orco_5_het	0
200	orco_5_het	0
210	orco_5_het	0
220	orco_5_het	0
230	orco_5_het	0
240	orco_5_het	0
250	orco_5_het	0
260	orco_5_het	0
270	orco_5_het	0
280	orco_5_het	0
290	orco_5_het	0
300	orco_5_het	0
0	orco_5_het	0
10	orco_5_het	2
20	orco_5_het	2
30	orco_5_het	2
40	orco_5_het	2
50	orco_5_het	2
60	orco_5_het	2
70	orco_5_het	2
80	orco_5_het	2
90	orco_5_het	2
100	orco_5_het	2
110	orco_5_het	2
120	orco_5_het	2
130	orco_5_het	2
140	orco_5_het	2
150	orco_5_het	2
160	orco_5_het	2
170	orco_5_het	2
180	orco_5_het	2
190	orco_5_het	2
200	orco_5_het	2
210	orco_5_het	2
220	orco_5_het	2
230	orco_5_het	2
240	orco_5_het	2
250	orco_5_het	2
260	orco_5_het	2
270	orco_5_het	2
280	orco_5_het	2
290	orco_5_het	2
300	orco_5_het	2
0	orco_5_het	0
10	orco_5_het	0
20	orco_5_het	0
30	orco_5_het	0
40	orco_5_het	0
50	orco_5_het	0
60	orco_5_het	0
70	orco_5_het	0
80	orco_5_het	0
90	orco_5_het	0
100	orco_5_het	0
110	orco_5_het	0
120	orco_5_het	0
130	orco_5_het	0
140	orco_5_het	0
150	orco_5_het	0
160	orco_5_het	0
170	orco_5_het	0
180	orco_5_het	0
190	orco_5_het	0
200	orco_5_het	0
210	orco_5_het	0
220	orco_5_het	0
230	orco_5_het	0
240	orco_5_het	0
250	orco_5_het	0
260	orco_5_het	0
270	orco_5_het	0
280	orco_5_het	0
290	orco_5_het	0
300	orco_5_het	0
0	orco_5_het	0
10	orco_5_het	0
20	orco_5_het	0
30	orco_5_het	0
