time	group	mos_p
0	orl_wt	4
10	orl_wt	12
20	orl_wt	6
30	orl_wt	14
40	orl_wt	22
50	orl_wt	18
60	orl_wt	18
70	orl_wt	16
80	orl_wt	16
90	orl_wt	16
100	orl_wt	12
110	orl_wt	10
120	orl_wt	10
130	orl_wt	10
140	orl_wt	8
150	orl_wt	12
160	orl_wt	8
170	orl_wt	8
180	orl_wt	8
190	orl_wt	8
200	orl_wt	6
210	orl_wt	8
220	orl_wt	6
230	orl_wt	4
240	orl_wt	4
250	orl_wt	4
260	orl_wt	4
270	orl_wt	4
280	orl_wt	4
290	orl_wt	4
300	orl_wt	2
0	orl_wt	2
10	orl_wt	8
20	orl_wt	12
30	orl_wt	42
40	orl_wt	38
50	orl_wt	22
60	orl_wt	18
70	orl_wt	12
80	orl_wt	16
90	orl_wt	8
100	orl_wt	12
110	orl_wt	12
120	orl_wt	10
130	orl_wt	14
140	orl_wt	6
150	orl_wt	8
160	orl_wt	8
170	orl_wt	8
180	orl_wt	4
190	orl_wt	6
200	orl_wt	8
210	orl_wt	8
220	orl_wt	8
230	orl_wt	6
240	orl_wt	6
250	orl_wt	4
260	orl_wt	6
270	orl_wt	6
280	orl_wt	6
290	orl_wt	8
300	orl_wt	8
0	orl_wt	4
10	orl_wt	2
20	orl_wt	14
30	orl_wt	30
40	orl_wt	34
50	orl_wt	30
60	orl_wt	28
70	orl_wt	22
80	orl_wt	16
90	orl_wt	24
100	orl_wt	16
110	orl_wt	12
120	orl_wt	8
130	orl_wt	8
140	orl_wt	8
150	orl_wt	10
160	orl_wt	8
170	orl_wt	8
180	orl_wt	6
190	orl_wt	6
200	orl_wt	6
210	orl_wt	8
220	orl_wt	8
230	orl_wt	8
240	orl_wt	8
250	orl_wt	8
260	orl_wt	8
270	orl_wt	8
280	orl_wt	6
290	orl_wt	6
300	orl_wt	6
0	orl_wt	2
10	orl_wt	28
20	orl_wt	34
30	orl_wt	36
40	orl_wt	40
50	orl_wt	30
60	orl_wt	24
70	orl_wt	24
80	orl_wt	26
90	orl_wt	20
100	orl_wt	18
