distance	group	stim	trialn
0.0641	orco_25_ko	pre	orco_25_ko_1
0.4449	orco_25_ko	pre	orco_25_ko_2
0.2435	orco_25_ko	pre	orco_25_ko_3
0.5312	orco_25_ko	pre	orco_25_ko_4
0.141	orco_25_ko	pre	orco_25_ko_5
0	orco_16_het	pre	orco_16_het_1
0.1016	orco_16_het	pre	orco_16_het_2
0.14	orco_16_het	pre	orco_16_het_3
0.2069	orco_16_het	pre	orco_16_het_4
0.1415	orco_16_het	pre	orco_16_het_5
0.1393	orco_516_ko	pre	orco_516_ko_1
0.2979	orco_516_ko	pre	orco_516_ko_2
0.6091	orco_516_ko	pre	orco_516_ko_3
0.2813	orco_516_ko	pre	orco_516_ko_4
0.4744	orco_516_ko	pre	orco_516_ko_5
0.0674	orl_wt	pre	orl_wt_1
0.0517	orl_wt	pre	orl_wt_2
0.1034	orl_wt	pre	orl_wt_3
0.1064	orl_wt	pre	orl_wt_4
0.0946	orl_wt	pre	orl_wt_5
3.867	orco_25_ko	post	orco_25_ko_1
1.6124	orco_25_ko	post	orco_25_ko_2
3.0793	orco_25_ko	post	orco_25_ko_3
3.1557	orco_25_ko	post	orco_25_ko_4
4.4781	orco_25_ko	post	orco_25_ko_5
1.6733	orco_16_het	post	orco_16_het_1
1.1924	orco_16_het	post	orco_16_het_2
7.228	orco_16_het	post	orco_16_het_3
1.9272	orco_16_het	post	orco_16_het_4
3.7618	orco_16_het	post	orco_16_het_5
3.3094	orco_516_ko	post	orco_516_ko_1
4.5511	orco_516_ko	post	orco_516_ko_2
4.8446	orco_516_ko	post	orco_516_ko_3
3.4685	orco_516_ko	post	orco_516_ko_4
4.9056	orco_516_ko	post	orco_516_ko_5
2.1508	orl_wt	post	orl_wt_1
1.8323	orl_wt	post	orl_wt_2
2.3062	orl_wt	post	orl_wt_3
4.5916	orl_wt	post	orl_wt_4
4.9982	orl_wt	post	orl_wt_5
