trial	fed	nonfed	total	group
1	2	13	15	noheat
1	14	1	15	control
1	11	4	15	antennatipcut
2	0	14	14	noheat
2	12	2	14	control
2	7	8	15	antennatipcut
3	0	15	15	noheat
3	13	2	15	control
3	15	1	16	antennatipcut
4	0	15	15	noheat
4	10	5	15	control
4	7	1	8	antennatipcut
5	0	15	15	noheat
5	5	9	14	control
5	10	4	14	antennatipcut
6	0	12	12	noheat
6	13	3	16	control
6	12	3	15	antennatipcut
7	1	14	15	noheat
7	10	5	15	control
7	10	3	13	antennatipcut
8	0	13	13	noheat
8	12	3	15	control
8	13	2	15	antennatipcut
9	2	9	11	noheat
9	11	3	14	control
9	7	8	15	antennatipcut
