trial	fed	nonfed	total	group
1	12	8	20	FL
1	15	6	21	ML
1	15	5	20	HL
1	17	3	20	CONTROL
2	4	13	17	FL
2	18	6	24	ML
2	13	5	18	HL
2	10	6	16	CONTROL
3	14	7	21	FL
3	13	6	19	ML
3	12	8	20	HL
3	10	9	19	CONTROL
4	8	12	20	FL
4	13	4	17	ML
4	14	10	24	HL
4	13	14	27	CONTROL
5	11	9	20	FL
5	10	11	21	ML
5	14	6	20	HL
5	11	9	20	CONTROL
6	3	17	20	FL
6	11	10	21	ML
6	14	8	22	HL
6	13	7	20	CONTROL
7	10	10	20	FL
7	11	10	21	ML
7	14	8	22	HL
7	7	12	19	CONTROL
8	6	14	20	FL
8	13	8	21	ML
8	12	8	20	HL
8	9	12	21	CONTROL
9	12	6	18	FL
9	11	6	17	ML
9	13	7	20	HL
9	16	4	20	CONTROL
10	10	10	20	FL
10	12	6	18	ML
10	14	7	21	HL
10	12	8	20	CONTROL
11	13	8	21	FL
11	14	6	20	ML
11	6	14	20	HL
11	17	5	22	CONTROL
12	9	11	20	FL
12	9	14	23	ML
12	15	5	20	HL
12	9	4	13	CONTROL
13	4	12	16	FL
13	9	6	15	ML
13	9	6	15	HL
13	11	4	15	CONTROL
