pelt_temp_step	heatseek	group
26	0	control
28.5	0.274725275	control
31	7.692307692	control
33.5	7.692307692	control
36	15.32356532	control
38.5	14.59096459	control
40	14.95726496	control
45	14.37728938	control
50	6.471306471	control
55	1.831501832	control
60	2.411477411	control
26	0	control
28.5	9.615384615	control
31	10.7967033	control
33.5	10.98901099	control
36	13.51648352	control
38.5	8.104395604	control
40	10.08241758	control
45	6.730769231	control
50	6.510989011	control
55	2.115384615	control
60	1.428571429	control
26	1.871101871	control
28.5	7.632907633	control
31	11.67211167	control
33.5	9.91980992	control
36	19.75051975	control
38.5	18.82981883	control
40	21.29492129	control
45	14.31541432	control
50	5.821205821	control
55	4.217404217	control
60	2.910602911	control
26	0	control
28.5	4.688644689	control
31	12.7960928	control
33.5	15.36019536	control
36	19.53601954	control
38.5	24.05372405	control
40	26.52014652	control
45	23.02808303	control
50	10.6959707	control
55	8.180708181	control
60	3.174603175	control
26	0	control
28.5	0	control
31	1.172161172	control
33.5	6.471306471	control
36	8.376068376	control
38.5	6.910866911	control
40	14.09035409	control
45	10.08547009	control
50	4.85958486	control
55	3.15018315	control
60	1.587301587	control
26	0	control
28.5	4.302080898	control
31	5.073649755	control
33.5	13.7245733	control
36	18.33060556	control
38.5	20.22445639	control
40	25.11105915	control
45	18.44750994	control
50	11.33972411	control
55	8.510638298	control
60	5.634790741	control
26	0	control
28.5	1.822567676	control
31	8.335566872	control
33.5	9.648887698	control
36	9.756097561	control
38.5	14.31251675	control
40	13.99088716	control
45	10.69418386	control
50	8.362369338	control
55	5.655320289	control
60	4.556419191	control
26	0	control
28.5	4.175824176	control
31	6.098901099	control
33.5	11.07142857	control
36	9.697802198	control
38.5	13.13186813	control
40	15.19230769	control
45	10.19230769	control
50	6.923076923	control
55	4.340659341	control
60	4.258241758	control
26	0	antennatipcut
28.5	4.313186813	antennatipcut
31	8.241758242	antennatipcut
33.5	13.70879121	antennatipcut
36	13.84615385	antennatipcut
38.5	17.82967033	antennatipcut
40	12.69230769	antennatipcut
45	13.07692308	antennatipcut
50	6.785714286	antennatipcut
55	5.631868132	antennatipcut
60	3.324175824	antennatipcut
26	0	antennatipcut
28.5	0	antennatipcut
31	2.747252747	antennatipcut
33.5	3.152111047	antennatipcut
36	10.96009254	antennatipcut
38.5	14.48814344	antennatipcut
40	11.27819549	antennatipcut
45	13.64950839	antennatipcut
50	8.010410642	antennatipcut
55	5.089647195	antennatipcut
60	4.135338346	antennatipcut
26	0.507185123	antennatipcut
28.5	6.396167935	antennatipcut
31	8.255846717	antennatipcut
33.5	11.12989575	antennatipcut
36	9.946463793	antennatipcut
38.5	11.18624965	antennatipcut
40	10.34094111	antennatipcut
45	7.438715131	antennatipcut
50	6.227106227	antennatipcut
55	5.804451958	antennatipcut
60	2.310510003	antennatipcut
26	0	antennatipcut
28.5	2.648633418	antennatipcut
31	2.564102564	antennatipcut
33.5	8.143138912	antennatipcut
36	9.805579036	antennatipcut
38.5	10.56635672	antennatipcut
40	12.39785855	antennatipcut
45	6.875176106	antennatipcut
50	4.339250493	antennatipcut
55	1.606086221	antennatipcut
60	1.775147929	antennatipcut
26	3.183995492	antennatipcut
28.5	4.592843054	antennatipcut
31	10.08734855	antennatipcut
33.5	12.96139758	antennatipcut
36	18.62496478	antennatipcut
38.5	22.25979149	antennatipcut
40	16.90617075	antennatipcut
45	16.65257819	antennatipcut
50	10.1155255	antennatipcut
55	6.311637081	antennatipcut
60	5.776275007	antennatipcut
26	0	antennatipcut
28.5	0	antennatipcut
31	2.564102564	antennatipcut
33.5	3.15581854	antennatipcut
36	10.36911806	antennatipcut
38.5	8.932093547	antennatipcut
40	15.01831502	antennatipcut
45	11.12989575	antennatipcut
50	6.255283178	antennatipcut
55	5.353620738	antennatipcut
60	4.451958298	antennatipcut
26	0	antennatipcut
28.5	1.677270098	antennatipcut
31	5.899363794	antennatipcut
33.5	8.906882591	antennatipcut
36	14.43030654	antennatipcut
38.5	17.03296703	antennatipcut
40	22.09369578	antennatipcut
45	18.88374783	antennatipcut
50	12.40601504	antennatipcut
55	7.923655292	antennatipcut
60	7.316367843	antennatipcut
26	0.027472527	antennatipcut
28.5	2.582417582	antennatipcut
31	14.53296703	antennatipcut
33.5	13.04945055	antennatipcut
36	19.36813187	antennatipcut
38.5	30.38461538	antennatipcut
40	26.8956044	antennatipcut
45	21.18131868	antennatipcut
50	10.54945055	antennatipcut
55	10.87912088	antennatipcut
60	5.21978022	antennatipcut
26	0	antennatipcut
28.5	12.20358589	antennatipcut
31	9.080393291	antennatipcut
33.5	14.57489879	antennatipcut
36	12.49277039	antennatipcut
38.5	13.79410064	antennatipcut
40	13.79410064	antennatipcut
45	11.22035859	antennatipcut
50	4.193175246	antennatipcut
55	3.528050896	antennatipcut
60	2.776171197	antennatipcut
