heatseek	group	pelt_temp_step
0.3996	CONTROL	26
0	CONTROL	26
0	CONTROL	26
0	CONTROL	26
8.4554	CONTROL	26
13.6142	CONTROL	26
0	CONTROL	26
0.8689	CONTROL	26
3.1945	CONTROL	26
3.37	FL	26
0.0366	FL	26
3.5531	FL	26
3.7305	FL	26
2.6316	FL	26
4.598	FL	26
0	FL	26
6.4011	FL	26
3.6538	FL	26
3.0303	ML	26
9.0243	ML	26
3.3966	ML	26
0.8242	ML	26
9.127	ML	26
5.7692	ML	26
0.8516	ML	26
3.6813	ML	26
10	ML	26
0.0666	HL	26
0	HL	26
2.0646	HL	26
0.9463	HL	26
4.6703	HL	26
6.2576	HL	26
0	HL	26
4.2582	HL	26
7.5	HL	26
20.7126	CONTROL	36
17.2494	CONTROL	36
15.984	CONTROL	36
21.0012	CONTROL	36
18.4982	CONTROL	36
16.8498	CONTROL	36
20.9302	CONTROL	36
17.5824	CONTROL	36
15.1546	CONTROL	36
11.0256	FL	36
13.4432	FL	36
9.0842	FL	36
16.9173	FL	36
8.9069	FL	36
9.7744	FL	36
15.0824	FL	36
13.9011	FL	36
21.044	FL	36
23.8428	ML	36
18.981	ML	36
21.7116	ML	36
19.7497	ML	36
21.7643	ML	36
11.7827	ML	36
15.6319	ML	36
21.6758	ML	36
22.0604	ML	36
24.2091	HL	36
22.2444	HL	36
14.8185	HL	36
19.8718	HL	36
24.1453	HL	36
20.0855	HL	36
16.7582	HL	36
24.7802	HL	36
24.011	HL	36
3.3633	CONTROL	55
1.2987	CONTROL	55
0.9324	CONTROL	55
5.3724	CONTROL	55
2.8083	CONTROL	55
2.6557	CONTROL	55
4.1656	CONTROL	55
6.8234	CONTROL	55
5.1112	CONTROL	55
2.4908	FL	55
1.1355	FL	55
3.7363	FL	55
4.0775	FL	55
1.5038	FL	55
1.5327	FL	55
4.1758	FL	55
6.0989	FL	55
4.5055	FL	55
4.329	ML	55
5.7942	ML	55
4.4289	ML	55
6.3492	ML	55
8.1197	ML	55
3.1746	ML	55
7.6648	ML	55
3.4341	ML	55
8.2418	ML	55
2.6973	HL	55
0.7659	HL	55
1.8981	HL	55
4.7924	HL	55
6.685	HL	55
5.0977	HL	55
2.6648	HL	55
5.1648	HL	55
9.3956	HL	55
