window	group	trialn	nmos	rmos	pmos
24	control	10	14	0	0
24	control	12	14	0	0
24	control	13	14	0	0
24	control	16	14	0	0
24	control	2	14	1	7.142857142857142
24	control	3	13	0	0
24	control	5	14	0	0
24	control	8	14	0	0
24	antennafullcut	1	14	2	14.285714285714285
24	antennafullcut	11	14	0	0
24	antennafullcut	14	14	0	0
24	antennafullcut	15	14	0	0
24	antennafullcut	4	14	0	0
24	antennafullcut	6	14	0	0
24	antennafullcut	7	14	0	0
24	antennafullcut	9	14	0	0
34	control	10	14	7	50
34	control	12	14	5	35.714285714285715
34	control	13	14	4	28.57142857142857
34	control	16	14	3	21.428571428571427
34	control	2	14	8	57.14285714285714
34	control	3	13	6	46.15384615384615
34	control	5	14	3	21.428571428571427
34	control	8	14	2	14.285714285714285
34	antennafullcut	1	14	4	28.57142857142857
34	antennafullcut	11	14	3	21.428571428571427
34	antennafullcut	14	14	2	14.285714285714285
34	antennafullcut	15	14	5	35.714285714285715
34	antennafullcut	4	14	6	42.857142857142854
34	antennafullcut	6	14	1	7.142857142857142
34	antennafullcut	7	14	1	7.142857142857142
34	antennafullcut	9	14	5	35.714285714285715
