window	group	trialn	nmos	rmos	pmos
24	control	10	14	0	0
24	control	12	14	0	0
24	control	13	14	0	0
24	control	15	13	1	7.6923076923076925
24	control	17	14	0	0
24	control	2	14	0	0
24	control	4	14	0	0
24	control	6	14	1	7.142857142857142
24	control	8	14	1	7.142857142857142
24	antennatipcut	1	14	1	7.142857142857142
24	antennatipcut	11	14	2	14.285714285714285
24	antennatipcut	14	14	1	7.142857142857142
24	antennatipcut	16	14	1	7.142857142857142
24	antennatipcut	18	14	1	7.142857142857142
24	antennatipcut	3	14	1	7.142857142857142
24	antennatipcut	5	14	0	0
24	antennatipcut	7	14	0	0
24	antennatipcut	9	13	0	0
34	control	10	14	2	14.285714285714285
34	control	12	14	2	14.285714285714285
34	control	13	14	9	64.28571428571429
34	control	15	13	3	23.076923076923077
34	control	17	14	2	14.285714285714285
34	control	2	14	3	21.428571428571427
34	control	4	14	6	42.857142857142854
34	control	6	14	4	28.57142857142857
34	control	8	14	6	42.857142857142854
34	antennatipcut	1	14	5	35.714285714285715
34	antennatipcut	11	14	4	28.57142857142857
34	antennatipcut	14	14	10	71.42857142857143
34	antennatipcut	16	14	6	42.857142857142854
34	antennatipcut	18	14	4	28.57142857142857
34	antennatipcut	3	14	8	57.14285714285714
34	antennatipcut	5	14	3	21.428571428571427
34	antennatipcut	7	14	5	35.714285714285715
34	antennatipcut	9	13	3	23.076923076923077
