time	landing_n	takeoff_n	group	n_mos	t_sampling
6.872031887	39	36	CONTROL	39	30
5.403367958	42	49	CONTROL	40	30
4.209710649	28	30	CONTROL	40	30
5.854299131	52	40	CONTROL	37	30
2.586949911	40	49	CONTROL	39	30
6.368788670	36	37	CONTROL	40	30
5.025089158	27	50	CONTROL	38	30
5.405286695	49	49	CONTROL	39	30
2.409183332	31	50	CONTROL	40	30
4.108923406	50	34	CONTROL	39	30
4.574449116	51	51	CONTROL	40	30
6.14	52	51	CONTROL	40	30
6.675838682	20	23	FL	40	30
6.299353615	14	30	FL	40	30
6.587069465	18	18	FL	39	30
4.656358708	18	19	FL	40	30
3.223403607	25	14	FL	40	30
5.111982108	25	26	FL	40	30
5.4	25	15	FL	39	30
3.104592889	24	24	FL	40	30
5.824324558	20	16	FL	38	30
4.787702629	18	22	FL	40	30
2.746436843	22	16	FL	39	30
5.101461955	20	19	FL	40	30
5.976781518	50	51	ML	40	30
5.097485424	27	60	ML	40	30
8.107478024	27	50	ML	37	30
2.774956802	36	55	ML	39	30
5.111289516	57	56	ML	40	30
7.251827016	35	43	ML	38	30
3.484702889	36	32	ML	38	30
4.220287244	26	38	ML	40	30
3.643015448	53	35	ML	40	30
4.0867	27	47	ML	38	30
5.859768782	31	51	ML	38	30
4.165716182	32	57	ML	40	30
5.346378255	51	34	HL	40	30
6.406470901	26	48	HL	40	30
6.309940967	41	46	HL	40	30
7.157205723	27	31	HL	40	30
5.543844328	43	35	HL	40	30
5.800430295	36	28	HL	40	30
5.078222226	57	32	HL	40	30
4.830342184	53	28	HL	40	30
4.044432742	40	61	HL	40	30
5.137124537	46	39	HL	40	30
5.396136072	29	36	HL	40	30
6.886444933	52	28	HL	40	30
