count	legs	side	driver	sampleID
37	foreleg	cranial	brp	1
50	foreleg	cranial	brp	2
19	foreleg	cranial	brp	3
35	foreleg	caudal	brp	1
52	foreleg	caudal	brp	2
31	foreleg	caudal	brp	3
35	midleg	cranial	brp	1
34	midleg	cranial	brp	2
34	midleg	cranial	brp	3
34	midleg	cranial	brp	4
29	midleg	caudal	brp	1
30	midleg	caudal	brp	2
22	midleg	caudal	brp	3
27	midleg	caudal	brp	4
13	foreleg	cranial	ir25a	1
1	foreleg	cranial	ir25a	2
17	foreleg	cranial	ir25a	3
22	foreleg	cranial	ir25a	4
38	foreleg	caudal	ir25a	1
32	foreleg	caudal	ir25a	2
29	foreleg	caudal	ir25a	3
30	foreleg	caudal	ir25a	4
10	midleg	cranial	ir25a	1
15	midleg	cranial	ir25a	2
11	midleg	cranial	ir25a	3
15	midleg	cranial	ir25a	4
15	midleg	cranial	ir25a	5
29	midleg	caudal	ir25a	1
26	midleg	caudal	ir25a	2
32	midleg	caudal	ir25a	3
25	midleg	caudal	ir25a	4
30	midleg	caudal	ir25a	5
7	foreleg	cranial	ir76b	1
8	foreleg	cranial	ir76b	2
7	foreleg	cranial	ir76b	3
5	foreleg	cranial	ir76b	4
22	foreleg	caudal	ir76b	1
21	foreleg	caudal	ir76b	2
20	foreleg	caudal	ir76b	3
20	foreleg	caudal	ir76b	4
3	midleg	cranial	ir76b	1
2	midleg	cranial	ir76b	2
7	midleg	cranial	ir76b	3
3	midleg	cranial	ir76b	4
23	midleg	caudal	ir76b	1
19	midleg	caudal	ir76b	2
17	midleg	caudal	ir76b	3
23	midleg	caudal	ir76b	4
8	foreleg	cranial	gr4	1
6	foreleg	cranial	gr4	2
9	foreleg	cranial	gr4	3
9	foreleg	cranial	gr4	4
7	foreleg	caudal	gr4	1
7	foreleg	caudal	gr4	2
7	foreleg	caudal	gr4	3
6	foreleg	caudal	gr4	4
9	midleg	cranial	gr4	1
7	midleg	cranial	gr4	2
8	midleg	cranial	gr4	3
11	midleg	cranial	gr4	4
6	midleg	caudal	gr4	1
5	midleg	caudal	gr4	2
8	midleg	caudal	gr4	3
9	midleg	caudal	gr4	4
