count	legs	driver	sampleID
13	Foreleg	brp	1
13	Foreleg	brp	2
14	Foreleg	brp	3
14	Midleg	brp	1
15	Midleg	brp	2
13	Midleg	brp	3
12	Midleg	brp	4
5	Hindleg	brp	1
4	Hindleg	brp	2
5	Hindleg	brp	3
16	Foreleg	ir25a	1
12	Foreleg	ir25a	2
12	Foreleg	ir25a	3
14	Foreleg	ir25a	4
11	Midleg	ir25a	1
12	Midleg	ir25a	2
14	Midleg	ir25a	3
13	Midleg	ir25a	4
12	Midleg	ir25a	5
6	Hindleg	ir25a	1
6	Hindleg	ir25a	2
4	Hindleg	ir25a	3
5	Hindleg	ir25a	4
6	Hindleg	ir25a	5
7	Foreleg	ir76b	1
8	Foreleg	ir76b	2
8	Foreleg	ir76b	3
10	Foreleg	ir76b	4
7	Midleg	ir76b	1
7	Midleg	ir76b	2
6	Midleg	ir76b	3
7	Midleg	ir76b	4
1	Hindleg	ir76b	1
2	Hindleg	ir76b	2
1	Hindleg	ir76b	3
1	Hindleg	ir76b	4
7	Foreleg	gr4	1
6	Foreleg	gr4	2
8	Foreleg	gr4	3
7	Foreleg	gr4	4
7	Midleg	gr4	1
7	Midleg	gr4	2
6	Midleg	gr4	3
9	Midleg	gr4	4
6	Hindleg	gr4	1
5	Hindleg	gr4	2
5	Hindleg	gr4	3
5	Hindleg	gr4	4
