genotype	batch	sampleID	tissue	sampleType	cell	peakresp	auc
wt	1	wt1	fl	fll	1	0.3383607246107559	17.94219662899755
wt	1	wt1	fl	fll	2	0.5175373211622162	27.373191803130766
wt	1	wt1	fl	fll	3	0.38810017080815334	24.85889878369752
wt	1	wt1	fl	fll	4	0.4031690162191087	21.3379218846711
wt	1	wt1	fl	fll	5	1.4748040406849074	66.1111741312191
wt	1	wt1	fl	fll	6	1.4648486664227254	82.45115581393023
wt	1	wt1	fl	fll	7	0.413728860493321	18.976263646407446
wt	1	wt1	fl	fll	8	0.3860524678501457	22.18123141980677
wt	1	wt1	fl	fll	9	0.5940124581074526	34.704195210559476
wt	1	wt1	fl	fll	10	0.8954459982235823	50.54136217351188
wt	1	wt1	fl	fll	11	0.24255676299117335	15.127619318061697
wt	1	wt1	fl	fll	12	0.28583509071672875	19.176855368849438
wt	1	wt1	fl	fll	13	0.6944203101381146	44.33338550583261
wt	1	wt1	fl	fll	14	0.2024976828465616	10.65343294342253
wt	1	wt1	fl	fll	15	0.6361406496713177	25.83509529680589
wt	1	wt1	fl	fll	16	0.5641232017421229	37.89981628855791
wt	1	wt1	fl	fll	17	1.3282297573308444	83.37758547365624
wt	1	wt1	fl	fll	18	0.3831340703995527	23.21227456451961
wt	1	wt1	fl	fll	19	0.6406492615134236	41.99360837226704
wt	1	wt1	fl	fll	20	0.12458013303454366	8.019347515407645
wt	1	wt1	fl	fll	21	0.5035379647390567	20.922215360948723
wt	1	wt1	fl	fll	22	0.3407500711783719	18.650072691851395
wt	1	wt1	fl	fll	23	0.48806363772479544	25.510965896060515
wt	1	wt1	fl	fll	24	0.429728522898938	28.760804247122742
wt	1	wt1	fl	fll	25	0.3537068871976554	21.011204589578547
wt	1	wt1	ml	mll	1	0.2598947166925804	11.688262620760067
wt	1	wt1	ml	mll	2	0.18040689761629536	12.554316986457906
wt	1	wt1	ml	mll	3	0.5016622564372387	29.984532457905917
wt	1	wt1	ml	mll	4	0.18242547850659416	7.585515342162859
wt	1	wt1	ml	mll	5	0.6986415385356821	39.176842172336606
wt	1	wt1	ml	mll	6	0.786726150531764	51.87606054300937
wt	1	wt1	ml	mll	7	0.36633637003461045	24.79878722459985
wt	1	wt1	ml	mll	8	0.4205280589909637	26.41120251850354
wt	1	wt1	ml	mll	9	0.2083725546479674	14.164806768768498
wt	1	wt1	ml	mll	10	0.2638514955558552	17.324567428273877
wt	1	wt1	ml	mll	11	0.0844532801386951	2.93178691472384
wt	1	wt1	ml	mll	12	0.13818165629369852	6.129820665668636
wt	1	wt1	ml	mll	13	0.23481136680700335	11.818411286194065
wt	1	wt1	ml	mll	14	0.11490257237994171	5.0917728753290605
wt	1	wt1	ml	mll	15	0.16414067824251696	9.679932277842449
wt	1	wt1	ml	mll	16	0.2622255042446849	14.037325783199453
wt	1	wt1	ml	mll	17	-0.044169192787433274	-7.833948626755239
wt	1	wt1	ml	mll	18	0.03230688497092008	-1.1998951091428545
wt	1	wt1	ml	mll	19	0.0374816363867536	-0.632437599283198
wt	1	wt1	ml	mll	20	0.0529314077637344	1.2258696121234967
wt	1	wt1	ml	mll	21	0.030540076677419686	-0.7298704579450181
wt	1	wt1	ml	mll	22	0.07527960153369094	3.929451114062681
wt	1	wt1	ml	mll	23	0.07751235696930082	3.17588672712329
wt	1	wt1	ml	mll	24	0.05725850363623086	1.5189961977671318
wt	1	wt2	fl	fll	1	0.8952022614015801	60.38055345558919
wt	1	wt2	fl	fll	2	0.8009078315932737	49.0223875627142
wt	1	wt2	fl	fll	3	0.6432989861239142	36.89351513929149
wt	1	wt2	fl	fll	4	0.8503969496620973	47.427322778165845
wt	1	wt2	fl	fll	5	0.5788735244351103	36.208426430504566
wt	1	wt2	fl	fll	6	0.6137567969904548	38.64025511599201
wt	1	wt2	fl	fll	7	1.081518340979441	72.56959485189893
