time	neuronID	deltaRR	tissue	trialN	stim
0	1	-0.134754335260116	antenna	9	heat
1	1	-0.140173410404624	antenna	9	heat
2	1	-0.14378612716763	antenna	9	heat
3	1	-0.151011560693642	antenna	9	heat
4	1	-0.154624277456647	antenna	9	heat
5	1	-0.132947976878613	antenna	9	heat
6	1	-0.149205202312139	antenna	9	heat
7	1	-0.151011560693642	antenna	9	heat
8	1	-0.154624277456647	antenna	9	heat
9	1	-0.151011560693642	antenna	9	heat
10	1	-0.145592485549133	antenna	9	heat
11	1	-0.151011560693642	antenna	9	heat
12	1	-0.141979768786127	antenna	9	heat
13	1	-0.111271676300578	antenna	9	heat
14	1	-0.111271676300578	antenna	9	heat
15	1	-0.134754335260116	antenna	9	heat
16	1	-0.16907514450867	antenna	9	heat
17	1	-0.185332369942196	antenna	9	heat
18	1	-0.19978323699422	antenna	9	heat
19	1	-0.219653179190751	antenna	9	heat
20	1	-0.291907514450867	antenna	9	heat
21	1	-0.279263005780347	antenna	9	heat
22	1	-0.270231213872832	antenna	9	heat
23	1	-0.252167630057803	antenna	9	heat
24	1	-0.239523121387283	antenna	9	heat
25	1	-0.219653179190751	antenna	9	heat
26	1	-0.21242774566474	antenna	9	heat
27	1	-0.208815028901734	antenna	9	heat
28	1	-0.196170520231214	antenna	9	heat
29	1	-0.188945086705202	antenna	9	heat
30	1	-0.181719653179191	antenna	9	heat
31	1	-0.181719653179191	antenna	9	heat
32	1	-0.174494219653179	antenna	9	heat
33	1	-0.167268786127168	antenna	9	heat
34	1	-0.161849710982659	antenna	9	heat
35	1	-0.163656069364162	antenna	9	heat
36	1	-0.161849710982659	antenna	9	heat
37	1	-0.163656069364162	antenna	9	heat
38	1	-0.163656069364162	antenna	9	heat
39	1	-0.160043352601156	antenna	9	heat
40	1	-0.161849710982659	antenna	9	heat
0	2	-0.0676855895196507	antenna	9	heat
1	2	-0.0676855895196507	antenna	9	heat
2	2	-0.0720524017467249	antenna	9	heat
3	2	-0.0698689956331878	antenna	9	heat
4	2	-0.0764192139737992	antenna	9	heat
5	2	-0.0676855895196507	antenna	9	heat
6	2	-0.0764192139737992	antenna	9	heat
7	2	-0.0720524017467249	antenna	9	heat
8	2	-0.0807860262008734	antenna	9	heat
9	2	-0.0807860262008734	antenna	9	heat
10	2	-0.0786026200873363	antenna	9	heat
11	2	-0.0829694323144105	antenna	9	heat
12	2	-0.0742358078602621	antenna	9	heat
13	2	-0.0589519650655022	antenna	9	heat
14	2	-0.0524017467248909	antenna	9	heat
15	2	-0.0524017467248909	antenna	9	heat
16	2	-0.0676855895196507	antenna	9	heat
17	2	-0.0720524017467249	antenna	9	heat
18	2	-0.0698689956331878	antenna	9	heat
19	2	-0.0676855895196507	antenna	9	heat
20	2	-0.141921397379913	antenna	9	heat
21	2	-0.148471615720524	antenna	9	heat
22	2	-0.14410480349345	antenna	9	heat
23	2	-0.139737991266376	antenna	9	heat
24	2	-0.133187772925764	antenna	9	heat
25	2	-0.131004366812227	antenna	9	heat
26	2	-0.122270742358079	antenna	9	heat
