geneID	geneClass	geneType
AAEL020532	ncRNA_gene	lncRNA
AAEL027741	ncRNA_gene	lncRNA
AAEL012102	protein_coding_gene	protein_coding
AAEL012106	protein_coding_gene	protein_coding
AAEL012094	protein_coding_gene	protein_coding
AAEL021681	ncRNA_gene	lncRNA
AAEL012098	protein_coding_gene	protein_coding
AAEL012109	protein_coding_gene	protein_coding
AAEL012104	protein_coding_gene	protein_coding
AAEL026799	ncRNA_gene	lncRNA
AAEL012103	protein_coding_gene	protein_coding
AAEL017167	protein_coding_gene	protein_coding
AAEL012110	protein_coding_gene	protein_coding
AAEL012101	protein_coding_gene	protein_coding
AAEL012107	protein_coding_gene	protein_coding
AAEL012095	protein_coding_gene	protein_coding
AAEL012105	protein_coding_gene	protein_coding
AAEL012096	protein_coding_gene	protein_coding
AAEL012099	protein_coding_gene	protein_coding
AAEL027035	protein_coding_gene	protein_coding
AAEL012100	protein_coding_gene	protein_coding
AAEL022538	protein_coding_gene	protein_coding
AAEL014130	protein_coding_gene	protein_coding
AAEL014134	protein_coding_gene	protein_coding
AAEL025548	ncRNA_gene	lncRNA
AAEL021855	ncRNA_gene	lncRNA
AAEL026394	ncRNA_gene	lncRNA
AAEL025713	protein_coding_gene	protein_coding
AAEL017048	protein_coding_gene	protein_coding
AAEL023318	ncRNA_gene	lncRNA
AAEL012796	protein_coding_gene	protein_coding
AAEL011388	protein_coding_gene	protein_coding
AAEL020295	ncRNA_gene	lncRNA
AAEL011390	protein_coding_gene	protein_coding
AAEL011377	protein_coding_gene	protein_coding
AAEL011381	protein_coding_gene	protein_coding
AAEL011389	protein_coding_gene	protein_coding
AAEL011382	protein_coding_gene	protein_coding
AAEL025124	ncRNA_gene	lncRNA
AAEL013369	protein_coding_gene	protein_coding
AAEL011386	protein_coding_gene	protein_coding
AAEL011383	protein_coding_gene	protein_coding
AAEL011379	protein_coding_gene	protein_coding
AAEL011385	protein_coding_gene	protein_coding
AAEL012233	protein_coding_gene	protein_coding
AAEL019446	protein_coding_gene	protein_coding
AAEL018922	ncRNA_gene	tRNA
AAEL024873	ncRNA_gene	lncRNA
AAEL005278	protein_coding_gene	protein_coding
AAEL005279	protein_coding_gene	protein_coding
AAEL005281	protein_coding_gene	protein_coding
AAEL005271	protein_coding_gene	protein_coding
AAEL023010	ncRNA_gene	lncRNA
AAEL005266	protein_coding_gene	protein_coding
AAEL005254	protein_coding_gene	protein_coding
AAEL025726	ncRNA_gene	lncRNA
AAEL005261	protein_coding_gene	protein_coding
AAEL011201	protein_coding_gene	protein_coding
AAEL019866	protein_coding_gene	protein_coding
AAEL011196	protein_coding_gene	protein_coding
AAEL011206	protein_coding_gene	protein_coding
AAEL022464	ncRNA_gene	lncRNA
AAEL011200	protein_coding_gene	protein_coding
AAEL027070	ncRNA_gene	lncRNA
AAEL011199	protein_coding_gene	protein_coding
AAEL011202	protein_coding_gene	protein_coding
AAEL028222	ncRNA_gene	lncRNA
AAEL011197	protein_coding_gene	protein_coding
AAEL023161	protein_coding_gene	protein_coding
AAEL026435	ncRNA_gene	lncRNA
AAEL011198	protein_coding_gene	protein_coding
AAEL011204	protein_coding_gene	protein_coding
AAEL011203	protein_coding_gene	protein_coding
