id	name	gene_category
AAEL020482	iav	trp
AAEL001123	nan	trp
AAEL019818	nompC	trp
AAEL006835	painless	trp
AAEL004397	painless	trp
AAEL026603	painless	trp
AAEL004179	pyx	trp
AAEL021199	TRP	trp
AAEL005437	TRP	trp
AAEL001268	TRPA1	trp
AAEL005014	TRPgamma	trp
AAEL005575	TRPl	trp
AAEL023985	TRPm	trp
AAEL001557	TRPml	trp
AAEL023040	wtrw	trp
AAEL027478	wtrw	trp
AAEL014009	ppk101	ppk
AAEL014010	ppk102	ppk
AAEL002575	ppk103	ppk
AAEL022385	ppk201	ppk
AAEL019946	ppk202	ppk
AAEL003714	ppk203	ppk
AAEL010779	ppk204	ppk
AAEL022016	ppk205	ppk
AAEL006613	ppk206	ppk
AAEL000582	ppk301	ppk
AAEL006258	ppk302	ppk
AAEL008809	ppk303	ppk
AAEL023544	ppk304	ppk
AAEL003470	ppk305	ppk
AAEL014228	ppk306	ppk
AAEL026145	ppk307	ppk
AAEL014230	ppk308	ppk
AAEL011005	ppk309	ppk
AAEL011002	ppk310	ppk
AAEL026983	ppk311	ppk
AAEL010995	ppk312	ppk
AAEL019676	ppk313	ppk
AAEL019675	ppk314	ppk
AAEL000863	ppk315	ppk
AAEL000926	ppk316	ppk
AAEL000873	ppk317	ppk
AAEL008053	ppk318	ppk
AAEL000534	ppk319	ppk
AAEL000552	ppk320	ppk
AAEL000547	ppk321	ppk
AAEL004091	ppk322	ppk
AAEL027684	ppk323_dup_of_305	ppk
Ir100a	Ir100a	ir
Ir100b	Ir100b	ir
Ir100c	Ir100c	ir
Ir100d	Ir100d	ir
Ir101	Ir101	ir
Ir102	Ir102	ir
Ir103	Ir103	ir
Ir104	Ir104	ir
Ir105	Ir105	ir
Ir106	Ir106	ir
Ir107	Ir107	ir
Ir108	Ir108	ir
Ir109	Ir109	ir
Ir110	Ir110	ir
Ir111	Ir111	ir
Ir112	Ir112	ir
Ir113	Ir113	ir
Ir114	Ir114	ir
Ir115	Ir115	ir
Ir116	Ir116	ir
Ir117	Ir117	ir
Ir118	Ir118	ir
Ir119	Ir119	ir
Ir120	Ir120	ir
Ir121	Ir121	ir
Ir122	Ir122	ir
Ir123	Ir123	ir
Ir124	Ir124	ir
Ir125	Ir125	ir
Ir126	Ir126	ir
Ir127	Ir127	ir
Ir128	Ir128	ir
Ir129	Ir129	ir
Ir130	Ir130	ir
Ir131	Ir131	ir
Ir132	Ir132	ir
Ir133	Ir133	ir
Ir134	Ir134	ir
Ir135	Ir135	ir
Ir136	Ir136	ir
Ir137	Ir137	ir
Ir138	Ir138	ir
Ir139	Ir139	ir
Ir140	Ir140	ir
Ir141	Ir141	ir
Ir142	Ir142	ir
Ir143	Ir143	ir
Ir144	Ir144	ir
Ir145	Ir145	ir
Ir146	Ir146	ir
Ir147	Ir147	ir
Ir148	Ir148	ir
Ir149	Ir149	ir
Ir150	Ir150	ir
Ir151	Ir151	ir
Ir152	Ir152	ir
Ir153	Ir153	ir
Ir154	Ir154	ir
Ir155	Ir155	ir
Ir156	Ir156	ir
Ir157	Ir157	ir
Ir158	Ir158	ir
Ir159	Ir159	ir
Ir160	Ir160	ir
Ir161	Ir161	ir
