geneID	type
AAEL011996	neuropeptide
AAEL021147	neuropeptide
AAEL012139	neuropeptide
AAEL009541	neuropeptide
AAEL013722	neuropeptide
AAEL005444	neuropeptide
AAEL000630	neuropeptide
AAEL008070	neuropeptide
AAEL001762	neuropeptide
AAEL006722	neuropeptide
AAEL011229	neuropeptide
AAEL015552	neuropeptide
AAEL013645	neuropeptide
AAEL001474	neuropeptide
AAEL012060	neuropeptide
AAEL003000	neuropeptide
AAEL019725	neuropeptide
AAEL004155	neuropeptide
AAEL002733	neuropeptide
AAEL012640	neuropeptide
AAEL001754	neuropeptide
AAEL019691	neuropeptide
AAEL009858	neuropeptide
AAEL006644	neuropeptide
AAEL011325	neuropeptide receptor
AAEL019490	neuropeptide receptor
AAEL019491	neuropeptide receptor
AAEL007169	neuropeptide receptor
AAEL012356	neuropeptide receptor
AAEL012920	neuropeptide receptor
AAEL006077	neuropeptide receptor
AAEL011680	neuropeptide receptor
AAEL004777	neuropeptide receptor
AAEL017335	neuropeptide receptor
AAEL003473	neuropeptide receptor
AAEL016997	neuropeptide receptor
AAEL018189	neuropeptide receptor
AAEL017238	neuropeptide receptor
AAEL002317	neuropeptide receptor
AAEL019608	neuropeptide receptor
AAEL011475	neuropeptide receptor
AAEL008655	neuropeptide receptor
AAEL008652	neuropeptide receptor
AAEL010043	neuropeptide receptor
AAEL006490	neuropeptide receptor
AAEL019757	neuropeptide receptor
AAEL008292	neuropeptide receptor
AAEL000266	neuropeptide receptor
AAEL027285	neuropeptide receptor
AAEL005803	neuropeptide receptor
AAEL003378	neuropeptide receptor
AAEL006636	neuropeptide receptor
AAEL004399	neuropeptide receptor
AAEL006283	neuropeptide receptor
AAEL010626	neuropeptide receptor
AAEL022296	neuropeptide receptor
AAEL022589	neuropeptide receptor
AAEL004245	neuropeptide receptor
AAEL025638	neuropeptide receptor
AAEL019608	neuropeptide receptor
AAEL009024	neuropeptide receptor
AAEL002404	neuropeptide receptor
AAEL010923	neuropeptide receptor
AAEL012796	neuropeptide receptor
AAEL017048	neuropeptide receptor
AAEL019607	neuropeptide receptor
AAEL017005	neuropeptide receptor
AAEL013505	neuropeptide receptor
AAEL019787	neuropeptide receptor
AAEL019786	neuropeptide receptor
AAEL019881	neuropeptide receptor
AAEL013505	neuropeptide receptor
AAEL017005	neuropeptide receptor
AAEL009698	neuropeptide receptor
AAEL027203	neuropeptide receptor
AAEL013505	neuropeptide receptor
AAEL019433	neuropeptide receptor
AAEL006947	neuropeptide receptor
AAEL004732	neuropeptide receptor
AAEL017549	neuropeptide receptor
AAEL003448	neuropeptide receptor
AAEL003647	neuropeptide receptor
AAEL013325	neuropeptide receptor
AAEL000528	neuropeptide receptor
AAEL007644	neuropeptide receptor
AAEL011318	neuropeptide receptor
AAEL008282	neuropeptide receptor
AAEL021100	Octopamine_tyramine receptor
AAEL006844	Octopamine_tyramine receptor
AAEL005945	Octopamine_tyramine receptor
AAEL005952	Octopamine_tyramine receptor
AAEL004396	Octopamine_tyramine receptor
AAEL004398	Octopamine_tyramine receptor
AAEL008360	Serotonin receptor
AAEL017272	Serotonin receptor
AAEL019804	Serotonin receptor
AAEL019805	Serotonin receptor
AAEL017272	Serotonin receptor
AAEL027242	Serotonin receptor
AAEL025125	Serotonin receptor
AAEL010471	vesicular_reuptake transporter
AAEL011088	vesicular_reuptake transporter
AAEL024732	vesicular_reuptake transporter
AAEL006412	vesicular_reuptake transporter
AAEL000384	vesicular_reuptake transporter
AAEL005581	vesicular_reuptake transporter
AAEL010462	vesicular_reuptake transporter
AAEL000780	vesicular_reuptake transporter
AAEL001867	vesicular_reuptake transporter
AAEL026276	vesicular_reuptake transporter
AAEL021432	Ach processing
AAEL000511	Ach processing
AAEL017181	ACh receptor
AAEL007832	ACh receptor
AAEL021197	ACh receptor
AAEL004006	ACh receptor
AAEL004032	ACh receptor
AAEL012106	ACh receptor
AAEL021479	ACh receptor
AAEL008055	ACh receptor
AAEL018352	ACh receptor
AAEL007664	ACh receptor
AAEL010570	ACh receptor
AAEL018308	ACh receptor
AAEL014238	biogenic amine processing
AAEL003462	biogenic amine processing
AAEL010856	biogenic amine processing
AAEL003462	biogenic amine processing
AAEL018302	biogenic amine processing
AAEL017098	biogenic amine processing
AAEL019437	Dopamine receptor
AAEL005834	Dopamine receptor
AAEL019766	Dopamine receptor
AAEL019766	Dopamine receptor
AAEL007372	GABA receptor
AAEL010408	GABA receptor
AAEL024480	GABA receptor
AAEL010710	GABA receptor
AAEL008354	GABA receptor
AAEL011981	glutamate processing
AAEL007542	glutamate processing
AAEL002538	Glutamate receptor
AAEL002506	Glutamate receptor
AAEL002518	Glutamate receptor
AAEL018149	Glutamate receptor
AAEL022196	Glutamate receptor
AAEL027822	Glutamate receptor
AAEL008587	Glutamate receptor
AAEL008090	Glutamate receptor
AAEL001568	Histamine receptor
AAEL026862	Histamine receptor
AAEL019841	Histamine receptor
AAEL012248	Histamine receptor
