time	landing_n	takeoff_n	group	n_mos	t_sampling
5.843866846	52	33	orl	40	30
6.588879971	44	26	orl	40	30
5.562958739	22	22	orl	40	30
5.801881466	36	45	orl	38	30
8.321542041	44	50	orl	40	30
5.053195946	30	47	orl	40	30
4.802173271	37	44	orl	40	30
6.884582985	31	27	orl	40	30
4.838922777	30	27	orl	39	30
2.571479423	46	38	Ir140_17_het	38	30
5.633669392	44	44	Ir140_17_het	40	30
6.959011764	40	48	Ir140_17_het	40	30
4.808354866	45	37	Ir140_17_het	37	30
5.584699297	40	47	Ir140_17_het	40	30
6.795382462	34	52	Ir140_17_het	40	30
2.511846346	51	28	Ir140_17_het	40	30
4.738531446	41	33	Ir140_144_het	39	30
7.730488911	52	25	Ir140_144_het	39	30
5.933095622	20	49	Ir140_144_het	40	30
5.5	26	44	Ir140_144_het	40	30
6.121104691	49	36	Ir140_144_het	37	30
5.776226678	42	39	Ir140_144_het	40	30
4.107500360	49	40	Ir140_144_het	40	30
6.745333689	22	11	Ir140_17144_ko	39	30
4.134898195	17	17	Ir140_17144_ko	38	30
3.286234492	10	24	Ir140_17144_ko	40	30
4.131873925	12	14	Ir140_17144_ko	40	30
2.751915710	21	12	Ir140_17144_ko	39	30
5.946596435	12	28	Ir140_17144_ko	39	30
2.898356951	20	18	Ir140_17144_ko	40	30
5.964416314	12	18	Ir140_17144_ko	40	30
6.004264846	25	14	Ir140_17144_ko	40	30
