heatseek	group	pelt_temp_step
0	orl	26
0	orl	26
0	orl	26
1.2088	orl	26
1.4725	orl	26
0	orl	26
2.022	orl	26
0	orl	26
0.044	orl	26
0.0229	Ir140_17_het	26
0	Ir140_17_het	26
0	Ir140_17_het	26
0	Ir140_17_het	26
0	Ir140_17_het	26
0	Ir140_17_het	26
0	Ir140_144_het	26
0	Ir140_144_het	26
0.022	Ir140_144_het	26
0	Ir140_144_het	26
0	Ir140_144_het	26
0.022	Ir140_144_het	26
0	Ir140_144_het	26
0	Ir140_17144_ko	26
0	Ir140_17144_ko	26
0	Ir140_17144_ko	26
0.022	Ir140_17144_ko	26
0	Ir140_17144_ko	26
0	Ir140_17144_ko	26
0	Ir140_17144_ko	26
0	Ir140_17144_ko	26
0	Ir140_17144_ko	26
0.022	orl	26
4.3077	orl	26
2.0659	orl	26
0	Ir140_17_het	26
0.022	Ir140_17_het	26
2.044	Ir140_17_het	26
0	Ir140_144_het	26
0	Ir140_144_het	26
2	Ir140_144_het	26
0	Ir140_17144_ko	26
7.1429	orl	36
11.7363	orl	36
19.6264	orl	36
20.3736	orl	36
19.2747	orl	36
15.0549	orl	36
19.0769	orl	36
15.978	orl	36
20.6374	orl	36
15.2701	Ir140_17_het	36
13.8681	Ir140_17_het	36
22.2857	Ir140_17_het	36
11.5385	Ir140_17_het	36
18.7253	Ir140_17_het	36
14.0879	Ir140_17_het	36
20.8571	Ir140_144_het	36
29.7363	Ir140_144_het	36
11.7143	Ir140_144_het	36
14.1978	Ir140_144_het	36
16.2637	Ir140_144_het	36
15.6703	Ir140_144_het	36
14.9231	Ir140_144_het	36
10.4396	Ir140_17144_ko	36
6.9231	Ir140_17144_ko	36
7.7363	Ir140_17144_ko	36
11.3846	Ir140_17144_ko	36
13.0989	Ir140_17144_ko	36
10.4288	Ir140_17144_ko	36
12.8205	Ir140_17144_ko	36
7.6923	Ir140_17144_ko	36
10.7912	Ir140_17144_ko	36
24.9231	orl	36
29.8022	orl	36
20.5055	orl	36
19.3407	Ir140_17_het	36
17.2967	Ir140_17_het	36
15.7363	Ir140_17_het	36
21.1648	Ir140_144_het	36
13.8242	Ir140_144_het	36
16.6374	Ir140_144_het	36
12.0645	Ir140_17144_ko	36
3.7802	orl	55
4.7253	orl	55
6.6154	orl	55
2.1538	orl	55
1.9341	orl	55
3.2527	orl	55
2.7253	orl	55
3.8901	orl	55
6.7473	orl	55
4.6016	Ir140_17_het	55
4.0659	Ir140_17_het	55
6.0659	Ir140_17_het	55
3.7802	Ir140_17_het	55
5.1868	Ir140_17_het	55
5.2747	Ir140_17_het	55
4.6593	Ir140_144_het	55
7.6044	Ir140_144_het	55
0.9451	Ir140_144_het	55
4.4615	Ir140_144_het	55
4.1319	Ir140_144_het	55
2.9451	Ir140_144_het	55
6.3516	Ir140_144_het	55
4.967	Ir140_17144_ko	55
3.9341	Ir140_17144_ko	55
2.4396	Ir140_17144_ko	55
5.0769	Ir140_17144_ko	55
9.0769	Ir140_17144_ko	55
3.1674	Ir140_17144_ko	55
3.7707	Ir140_17144_ko	55
1.9121	Ir140_17144_ko	55
4.2198	Ir140_17144_ko	55
8.7473	orl	55
9.6044	orl	55
9.4066	orl	55
8.5275	Ir140_17_het	55
10.9231	Ir140_17_het	55
8.7692	Ir140_17_het	55
9.8901	Ir140_144_het	55
6.0879	Ir140_144_het	55
6.1758	Ir140_144_het	55
3.5071	Ir140_17144_ko	55
